clock_applied_mhz,runtime_s,avg_power_w,energy_j,repeats,slowdown_pct,energy_saving_pct,edp,norm_edp,avg_clock_mhz
3105,10.581866666666668,51.86056666666667,548.7819,3,-0.010394060896579127,-1.450180304311277,5807.13689488,1.0143963551079076,2503.7979666666665
3045,10.583166666666665,51.9119,549.3936333333334,3,0.001889829253931552,-1.563267957101644,5814.324387172222,1.0156518732945072,2502.6215333333334
2985,10.582866666666666,52.22606666666667,552.7016333333332,3,-0.000944914626965776,-2.1747990525088357,5849.167692015554,1.0217383358788754,2503.2027333333335
2925,10.582966666666666,52.25293333333334,552.9916333333333,3,0.0,-2.2284096987204904,5852.292022512222,1.0222840969872051,2502.6132333333335
2865,10.583599999999999,52.14606666666666,551.8938333333334,3,0.00598445930410918,-2.0254656731648835,5841.023574466667,1.0203157134563792,2502.0122666666666
2805,10.5817,52.10413333333333,551.3509333333333,3,-0.011968918608196155,-1.925102846170712,5834.230171253333,1.0191290351356974,2502.0150666666664
2745,10.583833333333333,52.147866666666665,551.9254666666667,3,0.008189260100355256,-2.031313547102198,5841.487151622222,1.0203966915675238,2501.4197
2685,10.583499999999999,52.288266666666665,553.3938333333333,3,0.005039544677143404,-2.3027621190871095,5856.843635083333,1.0230791771249006,2502.0007
2625,10.582066666666668,52.013200000000005,550.4072,3,-0.008504231642647575,-1.7506402466829218,5824.445684213334,1.0174198713653848,2502.624566666667
2565,10.583166666666665,52.259433333333334,553.0704666666667,3,0.001889829253931552,-2.2429831674895206,5853.236927144444,1.0224491538529552,2503.2056666666667
2505,10.583366666666668,52.14223333333333,551.8391666666666,3,0.0037796585078853084,-2.015359758246804,5840.316241861112,1.0201921559047125,2503.8007666666667
2445,10.586799999999998,50.2026,531.4847,3,0.036221727366925194,1.7474544186264374,5626.722221959999,0.9828813435056513,2442.9927666666667
2385,10.589166666666666,47.867999999999995,506.88166666666666,3,0.05858470687172268,6.295676886786639,5367.454448611111,0.9375921951623539,2383.7817666666665
2325,10.589833333333333,46.15883333333333,488.8143666666667,3,0.06488413771816859,9.635675605060834,5176.462673938889,0.9042295650762766,2324.0728
2265,10.591366666666667,44.3915,470.1666666666667,3,0.07937282866494755,13.082969561477231,4979.707561111111,0.8698601894417339,2264.5734666666667
2205,10.5946,43.08976666666666,456.51966666666664,3,0.10992506827007809,15.605812626477988,4836.643260466666,0.8448695774160834,2204.1694
2145,10.596266666666667,41.6462,441.29449999999997,3,0.12567364538615955,18.42040236330518,4676.074200533333,0.8168212169093622,2144.8815
2085,10.5976,40.22053333333333,426.24140000000006,3,0.13827250707898475,21.203183116713443,4517.135860640001,0.7890577121748953,2085.5003666666667
2025,10.597633333333333,38.97983333333333,413.0949666666667,3,0.13858747862129928,23.633489276638308,4377.828988578889,0.7647234514508426,2026.0048333333334
1965,10.598666666666666,37.9876,402.6176666666667,3,0.14835159643327156,25.57036797854587,4267.210443111111,0.7454004956877737,1966.8335
1905,10.598766666666666,36.7988,390.02253333333334,3,0.14929651106023734,27.898758451379447,4133.757825542222,0.7220888618668375,1907.4918666666665
1845,10.5997,36.6404,388.37763333333334,3,0.15811571424522164,28.202841733977802,4116.686400043333,0.7191068085562229,1848.6129
1785,10.6001,35.76423333333333,379.10516666666666,3,0.16189537275308474,29.916989768377356,4018.552677183333,0.7019647138227371,1788.8208666666667
1725,10.5919,35.050399999999996,371.24943333333334,3,0.08441237334209095,31.36923439067495,3932.2368729233335,0.6868869846741873,1729.4973666666665
1665,10.593433333333333,33.963166666666666,359.78773333333334,3,0.0989010642888477,33.488093506826424,3811.387367217778,0.6657768747657414,1670.1636666666666
1605,10.602033333333333,33.38126666666667,353.9105333333334,3,0.1801637222077046,34.57457795480929,3752.171271417778,0.6554329492081742,1610.8181666666667
1545,10.5935,32.58903333333333,345.2325666666666,3,0.09953100737349896,36.178824164474996,3657.221194983333,0.6388469769475171,1551.5049
1485,10.605133333333333,31.9649,338.99206666666663,3,0.20945607564357704,37.33246981166025,3595.0560659422217,0.6279879113777499,1493.1910333333333
1425,10.607833333333334,31.476133333333333,333.8933,3,0.23496877057158638,38.27504972849596,3541.8844775166667,0.6186998462829292,1432.8129666666666
1365,10.611233333333333,30.724,326.0192333333333,3,0.26709586788833395,39.73068352957705,3459.466156054444,0.6043029332432,1373.4666333333334
1305,10.592133333333335,30.289666666666665,320.8344666666667,3,0.08661717413833703,40.689161775978974,3398.321448862223,0.5936221159604844,1312.8952
1245,10.6034,29.7351,315.29423333333335,3,0.19307755544288874,41.71335311792122,3343.190873726667,0.5839918531502831,1254.8072666666667
1185,10.614733333333334,29.283866666666665,310.8398333333333,3,0.3001678798320695,42.536812643732006,3299.4819402111107,0.5763567338743925,1195.5221333333332
1065,10.605866666666666,28.552999999999997,302.8273,3,0.2163854495746298,44.01804398784333,3211.745966826666,0.5610309281935425,1078.4771666666666
1005,10.636566666666667,28.340999999999998,301.45009999999996,3,0.5064742400524125,44.27263909805942,3206.394085323333,0.5600960562956996,1017.3742666666667
945,11.388333333333334,28.0166,319.06323333333336,3,7.610027434021349,41.016599581467226,3633.5984556111116,0.6347205337190179,957.2970666666666
885,11.788466666666666,27.7287,326.8784333333333,3,11.390945828044451,39.57184812535278,3853.395515402222,0.6731148991957671,897.5147999999999
825,12.901333333333334,27.079966666666667,349.3693333333333,3,21.90658573997841,35.41408370162409,4507.330225777778,0.7873448542823032,837.0228333333334
765,12.8865,27.055233333333334,348.6474666666666,3,21.766423403645497,35.547531075688376,4492.8455791999995,0.7848146620448033,779.3669333333333
705,12.901566666666668,27.01046666666667,348.4781666666666,3,21.90879054077466,35.578828601218135,4495.914299127777,0.7853507090445441,720.0426333333334
645,12.873899999999999,26.924066666666665,346.6175333333333,3,21.647364160648095,35.92279327488335,4462.319462379999,0.7794823300887394,658.7585
585,12.874133333333333,26.8738,345.97679999999997,3,21.649568961444345,36.04124199229486,4454.151453439999,0.7780555342946658,599.2984
525,12.8898,26.790666666666667,345.32706666666667,3,21.79760558633528,36.16135448838189,4451.19682392,0.7775394167189935,539.8530999999999
