run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_163549,3105,3105,2499.8667,2520.0000,53.4178,88.0000,88.0000,948.8756,15.4515,10.7824,45.3952,489.4704,data\raw\memory\logs\17_tanh_custom\clk3105_r1_20260420_163549_power.csv
clk3105_r2_20260420_163616,3105,3105,2502.6498,2520.0000,54.2028,88.4793,88.4793,977.9585,15.9251,10.7481,46.9657,504.7918,data\raw\memory\logs\17_tanh_custom\clk3105_r2_20260420_163616_power.csv
clk3105_r3_20260420_163642,3105,3105,2502.6389,2520.0000,54.5093,88.4259,88.4259,981.8241,15.9880,10.7819,47.2332,509.2623,data\raw\memory\logs\17_tanh_custom\clk3105_r3_20260420_163642_power.csv
clk3045_r1_20260420_163710,3045,3045,2503.0046,2520.0000,54.1606,90.3670,90.3670,973.9495,15.8598,10.7472,56.0892,602.8034,data\raw\memory\logs\17_tanh_custom\clk3045_r1_20260420_163710_power.csv
clk3045_r2_20260420_163736,3045,3045,2500.8333,2520.0000,54.7963,88.8889,88.8889,979.9167,15.9570,10.7453,47.2352,507.5572,data\raw\memory\logs\17_tanh_custom\clk3045_r2_20260420_163736_power.csv
clk3045_r3_20260420_163802,3045,3045,2500.9404,2520.0000,55.1697,87.6147,87.6147,976.8303,15.9067,10.8022,47.0390,508.1255,data\raw\memory\logs\17_tanh_custom\clk3045_r3_20260420_163802_power.csv
clk2985_r1_20260420_163829,2985,2985,2502.9545,2520.0000,54.6773,90.0000,90.0000,972.0500,15.8289,10.7853,46.4789,501.2898,data\raw\memory\logs\17_tanh_custom\clk2985_r1_20260420_163829_power.csv
clk2985_r2_20260420_163856,2985,2985,2504.4444,2520.0000,55.2315,88.4259,88.4259,982.5648,16.0001,10.7866,47.2295,509.4448,data\raw\memory\logs\17_tanh_custom\clk2985_r2_20260420_163856_power.csv
clk2985_r3_20260420_163921,2985,2985,2499.7598,2520.0000,55.1485,87.7729,87.7729,943.1878,15.3589,10.7988,45.8403,495.0188,data\raw\memory\logs\17_tanh_custom\clk2985_r3_20260420_163921_power.csv
clk2925_r1_20260420_163951,2925,2925,2501.9731,2520.0000,55.3408,90.5830,90.5830,965.8789,15.7284,10.7443,50.3692,541.1817,data\raw\memory\logs\17_tanh_custom\clk2925_r1_20260420_163951_power.csv
