run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_094016,3105,3105,2520.0000,2520.0000,48.6795,57.4615,57.6923,493.9359,8.0432,2.6804,34.9231,93.6096,data\raw\memory\logs\18_softplus_custom\clk3105_r1_20260423_094016_power.csv
clk3105_r2_20260423_094024,3105,3105,2520.0000,2520.0000,49.5195,64.9351,64.9351,500.3506,8.1477,2.6863,38.6858,103.9204,data\raw\memory\logs\18_softplus_custom\clk3105_r2_20260423_094024_power.csv
clk3045_r1_20260423_094035,3045,3045,2520.0000,2520.0000,48.8571,58.4416,58.4416,495.1299,8.0627,2.6787,36.3958,97.4951,data\raw\memory\logs\18_softplus_custom\clk3045_r1_20260423_094035_power.csv
clk3045_r2_20260423_094044,3045,3045,2519.2405,2520.0000,49.5570,56.9620,56.9620,482.6076,7.8588,2.6814,37.7290,101.1683,data\raw\memory\logs\18_softplus_custom\clk3045_r2_20260423_094044_power.csv
clk2985_r1_20260423_094055,2985,2985,2520.0000,2520.0000,48.9494,57.8608,56.2658,485.5316,7.9064,2.6806,35.2405,94.4672,data\raw\memory\logs\18_softplus_custom\clk2985_r1_20260423_094055_power.csv
clk2985_r2_20260423_094103,2985,2985,2515.7692,2520.0000,49.7436,65.3846,65.3846,491.8590,8.0094,2.6784,38.2815,102.5314,data\raw\memory\logs\18_softplus_custom\clk2985_r2_20260423_094103_power.csv
clk2925_r1_20260423_094114,2925,2925,2518.2468,2520.0000,49.4416,59.4805,59.7403,504.6494,8.2177,2.6838,35.3545,94.8849,data\raw\memory\logs\18_softplus_custom\clk2925_r1_20260423_094114_power.csv
clk2925_r2_20260423_094123,2925,2925,2512.2078,2520.0000,50.0779,64.9351,64.9351,504.9610,8.2228,2.6847,39.0919,104.9492,data\raw\memory\logs\18_softplus_custom\clk2925_r2_20260423_094123_power.csv
clk2865_r1_20260423_094133,2865,2865,2515.9615,2520.0000,49.5256,58.9744,58.9744,498.2821,8.1140,2.6787,35.4105,94.8547,data\raw\memory\logs\18_softplus_custom\clk2865_r1_20260423_094133_power.csv
clk2865_r2_20260423_094142,2865,2865,2511.3158,2520.0000,50.3158,67.1053,67.1053,511.2895,8.3258,2.6822,39.3318,105.4960,data\raw\memory\logs\18_softplus_custom\clk2865_r2_20260423_094142_power.csv
clk2805_r1_20260423_094152,2805,2805,2514.4000,2520.0000,49.8533,60.0000,60.0000,511.0000,8.3211,2.6801,36.3115,97.3197,data\raw\memory\logs\18_softplus_custom\clk2805_r1_20260423_094152_power.csv
clk2805_r2_20260423_094201,2805,2805,2510.3289,2520.0000,50.5526,65.7895,65.7895,506.8289,8.2532,2.6829,39.5946,106.2299,data\raw\memory\logs\18_softplus_custom\clk2805_r2_20260423_094201_power.csv
