run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_101638,3105,3105,2520.0000,2520.0000,46.6602,67.0680,66.1942,548.7573,8.9360,4.0278,37.0135,149.0815,data\raw\memory\logs\19_hardsigmoid_custom\clk3105_r1_20260423_101638_power.csv
clk3105_r2_20260423_101649,3105,3105,2520.0000,2520.0000,47.5437,72.8155,72.8155,543.1942,8.8454,4.0166,39.4925,158.6268,data\raw\memory\logs\19_hardsigmoid_custom\clk3105_r2_20260423_101649_power.csv
clk3045_r1_20260423_101703,3045,3045,2520.0000,2520.0000,47.4272,71.2330,71.5728,548.3981,8.9301,4.0281,37.0225,149.1301,data\raw\memory\logs\19_hardsigmoid_custom\clk3045_r1_20260423_101703_power.csv
clk3045_r2_20260423_101714,3045,3045,2520.0000,2520.0000,48.3301,69.1650,69.4369,548.7573,8.9360,4.0234,40.5203,163.0294,data\raw\memory\logs\19_hardsigmoid_custom\clk3045_r2_20260423_101714_power.csv
clk2985_r1_20260423_101727,2985,2985,2520.0000,2520.0000,47.9709,70.8738,70.8738,548.0583,8.9246,4.0189,37.5387,150.8650,data\raw\memory\logs\19_hardsigmoid_custom\clk2985_r1_20260423_101727_power.csv
clk2985_r2_20260423_101739,2985,2985,2520.0000,2520.0000,48.7573,71.7476,72.3883,544.3786,8.8647,4.0318,39.7156,160.1238,data\raw\memory\logs\19_hardsigmoid_custom\clk2985_r2_20260423_101739_power.csv
clk2925_r1_20260423_101752,2925,2925,2520.0000,2520.0000,48.5248,68.3168,68.3168,558.9109,9.1013,4.0293,37.3893,150.6521,data\raw\memory\logs\19_hardsigmoid_custom\clk2925_r1_20260423_101752_power.csv
clk2925_r2_20260423_101803,2925,2925,2519.5588,2520.0000,49.3627,73.5294,73.5294,555.7059,9.0491,4.0252,40.1581,161.6462,data\raw\memory\logs\19_hardsigmoid_custom\clk2925_r2_20260423_101803_power.csv
clk2865_r1_20260423_101817,2865,2865,2519.1176,2520.0000,49.0980,71.5686,71.5686,560.7353,9.1310,4.0221,38.9643,156.7172,data\raw\memory\logs\19_hardsigmoid_custom\clk2865_r1_20260423_101817_power.csv
clk2865_r2_20260423_101828,2865,2865,2516.9118,2520.0000,49.5392,71.7157,71.7451,555.7059,9.0491,4.0290,40.2694,162.2471,data\raw\memory\logs\19_hardsigmoid_custom\clk2865_r2_20260423_101828_power.csv
clk2805_r1_20260423_101841,2805,2805,2520.0000,2520.0000,49.2157,68.6275,68.6275,555.7059,9.0491,4.0223,37.5207,150.9202,data\raw\memory\logs\19_hardsigmoid_custom\clk2805_r1_20260423_101841_power.csv
clk2805_r2_20260423_101853,2805,2805,2520.0000,2520.0000,49.9307,72.2772,72.2772,559.0099,9.1029,4.0296,40.4193,162.8750,data\raw\memory\logs\19_hardsigmoid_custom\clk2805_r2_20260423_101853_power.csv
clk2745_r1_20260423_101906,2745,2745,2520.0000,2520.0000,49.5196,71.5686,71.5686,553.4314,9.0121,4.0285,37.9149,152.7413,data\raw\memory\logs\19_hardsigmoid_custom\clk2745_r1_20260423_101906_power.csv
