run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_115817,3105,3105,2520.0000,2520.0000,50.0357,80.9524,80.9524,675.0476,10.9925,7.5345,43.0240,324.1642,data\raw\memory\logs\20_mish_custom\clk3105_r1_20260423_115817_power.csv
clk3105_r2_20260423_115835,3105,3105,2520.0000,2520.0000,50.9112,80.0000,79.8817,669.2781,10.8985,7.5296,44.2892,333.4819,data\raw\memory\logs\20_mish_custom\clk3105_r2_20260423_115835_power.csv
clk3045_r1_20260423_115856,3045,3045,2519.1964,2520.0000,51.1250,81.5476,81.5476,675.0595,10.9927,7.5226,43.4614,326.9421,data\raw\memory\logs\20_mish_custom\clk3045_r1_20260423_115856_power.csv
clk3045_r2_20260423_115915,3045,3045,2513.6705,2520.0000,51.7283,79.1908,79.1908,660.1908,10.7505,7.5266,43.6973,328.8912,data\raw\memory\logs\20_mish_custom\clk3045_r2_20260423_115915_power.csv
clk2985_r1_20260423_115936,2985,2985,2510.3143,2520.0000,51.5886,77.9714,77.7657,645.2971,10.5080,7.5332,42.2522,318.2961,data\raw\memory\logs\20_mish_custom\clk2985_r1_20260423_115936_power.csv
clk2985_r2_20260423_115955,2985,2985,2507.5397,2520.0000,51.8624,71.7989,71.6402,604.7989,9.8485,7.5227,41.0060,308.4761,data\raw\memory\logs\20_mish_custom\clk2985_r2_20260423_115955_power.csv
clk2925_r1_20260423_120018,2925,2925,2507.0414,2520.0000,52.1183,81.0651,81.0651,673.9704,10.9749,7.5231,43.5625,327.7274,data\raw\memory\logs\20_mish_custom\clk2925_r1_20260423_120018_power.csv
clk2925_r2_20260423_120036,2925,2925,2505.7803,2520.0000,52.4740,79.7688,79.7688,660.1792,10.7504,7.5272,43.8940,330.3994,data\raw\memory\logs\20_mish_custom\clk2925_r2_20260423_120036_power.csv
clk2865_r1_20260423_120058,2865,2865,2507.0175,2520.0000,52.2690,79.9064,80.1170,664.2573,10.8168,7.5269,42.7742,321.9575,data\raw\memory\logs\20_mish_custom\clk2865_r1_20260423_120058_power.csv
clk2865_r2_20260423_120116,2865,2865,2505.0000,2505.0000,52.7093,79.1279,79.0698,666.8256,10.8586,7.5259,44.3292,333.6153,data\raw\memory\logs\20_mish_custom\clk2865_r2_20260423_120116_power.csv
clk2805_r1_20260423_120137,2805,2805,2507.4561,2520.0000,52.4327,78.8889,78.4211,664.0000,10.8126,7.5230,42.6426,320.8021,data\raw\memory\logs\20_mish_custom\clk2805_r1_20260423_120137_power.csv
clk2805_r2_20260423_120156,2805,2805,2505.0000,2505.0000,52.9827,80.3468,80.3468,670.9191,10.9252,7.5299,44.3752,334.1396,data\raw\memory\logs\20_mish_custom\clk2805_r2_20260423_120156_power.csv
clk2745_r1_20260423_120217,2745,2745,2506.2281,2520.0000,52.5322,80.7018,80.7018,667.2573,10.8656,7.5222,42.6238,320.6256,data\raw\memory\logs\20_mish_custom\clk2745_r1_20260423_120217_power.csv
clk2745_r2_20260423_120236,2745,2745,2505.0000,2505.0000,52.9249,79.7688,79.7688,658.3873,10.7212,7.5345,43.9168,330.8906,data\raw\memory\logs\20_mish_custom\clk2745_r2_20260423_120236_power.csv
clk2685_r1_20260423_120257,2685,2685,2505.8571,2520.0000,52.6571,78.8571,78.8571,659.3543,10.7369,7.5267,42.8779,322.7273,data\raw\memory\logs\20_mish_custom\clk2685_r1_20260423_120257_power.csv
clk2685_r2_20260423_120316,2685,2685,2505.0000,2505.0000,53.3353,79.1908,79.1908,657.8902,10.7131,7.5200,44.0457,331.2242,data\raw\memory\logs\20_mish_custom\clk2685_r2_20260423_120316_power.csv
clk2625_r1_20260423_120337,2625,2625,2505.7714,2520.0000,53.0171,79.2514,79.0971,653.6114,10.6434,7.5172,42.1568,316.8990,data\raw\memory\logs\20_mish_custom\clk2625_r1_20260423_120337_power.csv
clk2625_r2_20260423_120356,2625,2625,2505.0000,2505.0000,53.7688,80.3295,80.1734,661.7572,10.7760,7.5232,43.9392,330.5631,data\raw\memory\logs\20_mish_custom\clk2625_r2_20260423_120356_power.csv
clk2565_r1_20260423_120417,2565,2565,2505.0000,2505.0000,53.5731,82.3392,82.6023,666.0877,10.8466,7.5125,43.2389,324.8306,data\raw\memory\logs\20_mish_custom\clk2565_r1_20260423_120417_power.csv
clk2565_r2_20260423_120436,2565,2565,2505.0000,2505.0000,54.1279,81.4186,81.6221,661.6337,10.7740,7.5202,43.9357,330.4066,data\raw\memory\logs\20_mish_custom\clk2565_r2_20260423_120436_power.csv
clk2505_r1_20260423_120457,2505,2505,2505.0000,2505.0000,53.3851,81.2644,81.5517,653.4425,10.6407,7.5218,42.5121,319.7663,data\raw\memory\logs\20_mish_custom\clk2505_r1_20260423_120457_power.csv
clk2505_r2_20260423_120516,2505,2505,2505.0000,2505.0000,53.9133,82.7283,83.0058,659.5549,10.7402,7.5300,44.0426,331.6398,data\raw\memory\logs\20_mish_custom\clk2505_r2_20260423_120516_power.csv
clk2445_r1_20260423_120537,2445,2445,2445.0000,2445.0000,52.8198,79.6512,79.6512,663.3779,10.8024,7.5338,41.1108,309.7219,data\raw\memory\logs\20_mish_custom\clk2445_r1_20260423_120537_power.csv
clk2445_r2_20260423_120556,2445,2445,2445.0000,2445.0000,53.0174,80.2326,80.2326,661.6279,10.7739,7.5295,42.6340,321.0122,data\raw\memory\logs\20_mish_custom\clk2445_r2_20260423_120556_power.csv
clk2385_r1_20260423_120617,2385,2385,2385.0000,2385.0000,51.8960,79.1908,79.1908,657.1676,10.7013,7.5223,39.0413,293.6822,data\raw\memory\logs\20_mish_custom\clk2385_r1_20260423_120617_power.csv
clk2385_r2_20260423_120636,2385,2385,2385.0000,2385.0000,51.9713,78.7356,78.7356,654.4885,10.6577,7.5415,39.9706,301.4379,data\raw\memory\logs\20_mish_custom\clk2385_r2_20260423_120636_power.csv
clk2325_r1_20260423_120657,2325,2325,2325.0000,2325.0000,50.9825,80.1170,80.1170,663.2807,10.8009,7.5327,37.9507,285.8719,data\raw\memory\logs\20_mish_custom\clk2325_r1_20260423_120657_power.csv
clk2325_r2_20260423_120716,2325,2325,2325.0000,2325.0000,51.1023,78.1307,78.0284,645.9886,10.5193,7.5280,38.3696,288.8477,data\raw\memory\logs\20_mish_custom\clk2325_r2_20260423_120716_power.csv
clk2265_r1_20260423_120737,2265,2265,2265.0000,2265.0000,50.4942,82.6163,83.1395,660.3953,10.7539,7.5363,36.3631,274.0421,data\raw\memory\logs\20_mish_custom\clk2265_r1_20260423_120737_power.csv
clk2265_r2_20260423_120756,2265,2265,2265.0000,2265.0000,50.6092,81.1494,81.2184,656.7874,10.6951,7.5444,37.2668,281.1550,data\raw\memory\logs\20_mish_custom\clk2265_r2_20260423_120756_power.csv
