run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_122826,3105,3105,2520.0000,2520.0000,46.9153,33.1017,31.2712,293.4407,4.7784,1.3380,30.5342,40.8541,data\raw\memory\logs\21_softmax_forward\clk3105_r1_20260423_122826_power.csv
clk3105_r2_20260423_122833,3105,3105,2520.0000,2520.0000,47.9500,46.6667,46.6667,279.5833,4.5527,1.3378,33.2623,44.4991,data\raw\memory\logs\21_softmax_forward\clk3105_r2_20260423_122833_power.csv
clk3045_r1_20260423_122842,3045,3045,2520.0000,2520.0000,47.4828,41.3793,41.3793,298.5000,4.8608,1.3377,29.9843,40.1100,data\raw\memory\logs\21_softmax_forward\clk3045_r1_20260423_122842_power.csv
clk3045_r2_20260423_122848,3045,3045,2520.0000,2520.0000,48.3333,51.6667,51.6667,291.3833,4.7449,1.3379,34.0558,45.5634,data\raw\memory\logs\21_softmax_forward\clk3045_r2_20260423_122848_power.csv
clk2985_r1_20260423_122857,2985,2985,2520.0000,2520.0000,47.4237,44.0678,44.0678,296.3559,4.8259,1.3383,31.0219,41.5156,data\raw\memory\logs\21_softmax_forward\clk2985_r1_20260423_122857_power.csv
clk2985_r2_20260423_122903,2985,2985,2520.0000,2520.0000,48.1475,32.4590,32.7049,281.1639,4.5785,1.3375,33.1279,44.3071,data\raw\memory\logs\21_softmax_forward\clk2985_r2_20260423_122903_power.csv
clk2925_r1_20260423_122912,2925,2925,2520.0000,2520.0000,47.6271,45.7627,45.7627,293.4407,4.7784,1.3400,28.5454,38.2506,data\raw\memory\logs\21_softmax_forward\clk2925_r1_20260423_122912_power.csv
clk2925_r2_20260423_122919,2925,2925,2520.0000,2520.0000,48.3276,33.6207,33.9655,294.6207,4.7976,1.3382,34.1409,45.6885,data\raw\memory\logs\21_softmax_forward\clk2925_r2_20260423_122919_power.csv
clk2865_r1_20260423_122927,2865,2865,2520.0000,2520.0000,46.9595,27.8784,28.0405,249.5811,4.0642,1.3382,26.6762,35.6992,data\raw\memory\logs\21_softmax_forward\clk2865_r1_20260423_122927_power.csv
clk2865_r2_20260423_122935,2865,2865,2520.0000,2520.0000,47.9565,39.4493,39.4928,259.3623,4.2235,1.3383,30.1590,40.3628,data\raw\memory\logs\21_softmax_forward\clk2865_r2_20260423_122935_power.csv
clk2805_r1_20260423_122945,2805,2805,2520.0000,2520.0000,47.8475,45.2542,45.7627,289.6441,4.7166,1.3379,31.5259,42.1794,data\raw\memory\logs\21_softmax_forward\clk2805_r1_20260423_122945_power.csv
