run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_124132,3105,3105,2520.0000,2520.0000,45.7636,49.0909,49.0909,294.6909,4.7987,1.3681,28.1720,38.5408,data\raw\memory\logs\22_logsoftmax_forward\clk3105_r1_20260423_124132_power.csv
clk3105_r2_20260423_124138,3105,3105,2520.0000,2520.0000,46.6909,46.8000,47.7818,294.0909,4.7890,1.3679,33.2213,45.4421,data\raw\memory\logs\22_logsoftmax_forward\clk3105_r2_20260423_124138_power.csv
clk3045_r1_20260423_124146,3045,3045,2520.0000,2520.0000,45.7636,33.0545,33.0545,300.1818,4.8882,1.3680,29.3978,40.2174,data\raw\memory\logs\22_logsoftmax_forward\clk3045_r1_20260423_124146_power.csv
clk3045_r2_20260423_124152,3045,3045,2520.0000,2520.0000,46.8868,34.3019,33.9623,300.7736,4.8978,1.3746,34.3555,47.2247,data\raw\memory\logs\22_logsoftmax_forward\clk3045_r2_20260423_124152_power.csv
clk2985_r1_20260423_124200,2985,2985,2520.0000,2520.0000,46.4074,35.3333,33.5000,299.6852,4.8801,1.3677,30.9383,42.3137,data\raw\memory\logs\22_logsoftmax_forward\clk2985_r1_20260423_124200_power.csv
clk2985_r2_20260423_124206,2985,2985,2520.0000,2520.0000,47.2264,36.8491,34.8113,300.7736,4.8978,1.3677,34.1038,46.6449,data\raw\memory\logs\22_logsoftmax_forward\clk2985_r2_20260423_124206_power.csv
clk2925_r1_20260423_124214,2925,2925,2520.0000,2520.0000,46.9630,41.3333,39.0000,299.5370,4.8777,1.3668,29.2480,39.9769,data\raw\memory\logs\22_logsoftmax_forward\clk2925_r1_20260423_124214_power.csv
clk2925_r2_20260423_124220,2925,2925,2520.0000,2520.0000,48.0962,50.0000,50.0000,317.5000,5.1702,1.3668,35.0729,47.9367,data\raw\memory\logs\22_logsoftmax_forward\clk2925_r2_20260423_124220_power.csv
clk2865_r1_20260423_124228,2865,2865,2520.0000,2520.0000,47.3889,50.0000,50.0000,299.5370,4.8777,1.3679,29.7761,40.7298,data\raw\memory\logs\22_logsoftmax_forward\clk2865_r1_20260423_124228_power.csv
clk2865_r2_20260423_124234,2865,2865,2520.0000,2520.0000,48.0741,48.1481,48.1481,305.7407,4.9787,1.3680,33.2369,45.4683,data\raw\memory\logs\22_logsoftmax_forward\clk2865_r2_20260423_124234_power.csv
clk2805_r1_20260423_124242,2805,2805,2520.0000,2520.0000,47.1887,49.0566,49.0566,305.3396,4.9721,1.3680,28.7206,39.2890,data\raw\memory\logs\22_logsoftmax_forward\clk2805_r1_20260423_124242_power.csv
clk2805_r2_20260423_124248,2805,2805,2520.0000,2520.0000,47.7547,46.8302,47.1698,305.1887,4.9697,1.3679,35.2789,48.2569,data\raw\memory\logs\22_logsoftmax_forward\clk2805_r2_20260423_124248_power.csv
clk2745_r1_20260423_124256,2745,2745,2520.0000,2520.0000,47.4000,48.6000,49.0909,310.7091,5.0596,1.3684,30.4527,41.6703,data\raw\memory\logs\22_logsoftmax_forward\clk2745_r1_20260423_124256_power.csv
clk2745_r2_20260423_124302,2745,2745,2520.0000,2520.0000,47.9107,48.2143,48.2143,299.0000,4.8689,1.3682,33.0211,45.1790,data\raw\memory\logs\22_logsoftmax_forward\clk2745_r2_20260423_124302_power.csv
clk2685_r1_20260423_124310,2685,2685,2520.0000,2520.0000,47.3704,43.0000,43.5000,316.2778,5.1503,1.3677,30.6891,41.9741,data\raw\memory\logs\22_logsoftmax_forward\clk2685_r1_20260423_124310_power.csv
clk2685_r2_20260423_124316,2685,2685,2513.0556,2520.0000,48.2222,50.0000,50.0000,320.6111,5.2208,1.3675,34.7470,47.5155,data\raw\memory\logs\22_logsoftmax_forward\clk2685_r2_20260423_124316_power.csv
clk2625_r1_20260423_124325,2625,2625,2514.1667,2520.0000,47.4259,35.8333,33.6667,316.7222,5.1575,1.3677,31.2593,42.7527,data\raw\memory\logs\22_logsoftmax_forward\clk2625_r1_20260423_124325_power.csv
clk2625_r2_20260423_124331,2625,2625,2512.5000,2520.0000,48.1786,41.0714,41.0714,304.9821,4.9663,1.3677,33.0511,45.2050,data\raw\memory\logs\22_logsoftmax_forward\clk2625_r2_20260423_124331_power.csv
clk2565_r1_20260423_124339,2565,2565,2514.7222,2520.0000,47.8519,44.4444,44.4444,316.3148,5.1509,1.3676,29.4561,40.2836,data\raw\memory\logs\22_logsoftmax_forward\clk2565_r1_20260423_124339_power.csv
clk2565_r2_20260423_124345,2565,2565,2512.2321,2520.0000,48.0357,51.3036,51.7857,304.9821,4.9663,1.3680,34.6168,47.3557,data\raw\memory\logs\22_logsoftmax_forward\clk2565_r2_20260423_124345_power.csv
clk2505_r1_20260423_124353,2505,2505,2505.0000,2505.0000,47.6111,50.0000,50.0000,320.6111,5.2208,1.3723,29.0663,39.8874,data\raw\memory\logs\22_logsoftmax_forward\clk2505_r1_20260423_124353_power.csv
clk2505_r2_20260423_124359,2505,2505,2505.0000,2505.0000,48.2364,49.0909,49.0909,310.7091,5.0596,1.3687,34.1289,46.7109,data\raw\memory\logs\22_logsoftmax_forward\clk2505_r2_20260423_124359_power.csv
clk2445_r1_20260423_124407,2445,2445,2445.0000,2445.0000,47.3636,49.0909,49.0909,310.7455,5.0602,1.3631,27.9649,38.1186,data\raw\memory\logs\22_logsoftmax_forward\clk2445_r1_20260423_124407_power.csv
clk2445_r2_20260423_124413,2445,2445,2445.0000,2445.0000,47.4912,37.7193,38.5965,296.3509,4.8258,1.3634,31.5477,43.0113,data\raw\memory\logs\22_logsoftmax_forward\clk2445_r2_20260423_124413_power.csv
clk2385_r1_20260423_124422,2385,2385,2385.0000,2385.0000,46.7273,43.6364,43.6364,311.8364,5.0779,1.3585,25.7656,35.0024,data\raw\memory\logs\22_logsoftmax_forward\clk2385_r1_20260423_124422_power.csv
clk2385_r2_20260423_124428,2385,2385,2385.0000,2385.0000,47.2727,50.4182,50.9091,304.4364,4.9574,1.3588,31.0455,42.1830,data\raw\memory\logs\22_logsoftmax_forward\clk2385_r2_20260423_124428_power.csv
clk2325_r1_20260423_124436,2325,2325,2325.0000,2325.0000,46.2545,49.0909,49.0909,310.7091,5.0596,1.3530,25.5785,34.6074,data\raw\memory\logs\22_logsoftmax_forward\clk2325_r1_20260423_124436_power.csv
clk2325_r2_20260423_124442,2325,2325,2325.0000,2325.0000,46.8909,49.0909,49.0909,309.0364,5.0323,1.3527,29.2982,39.6316,data\raw\memory\logs\22_logsoftmax_forward\clk2325_r2_20260423_124442_power.csv
clk2265_r1_20260423_124450,2265,2265,2265.0000,2265.0000,45.9091,33.0545,33.0545,304.4364,4.9574,1.3464,26.2744,35.3754,data\raw\memory\logs\22_logsoftmax_forward\clk2265_r1_20260423_124450_power.csv
clk2265_r2_20260423_124457,2265,2265,2265.0000,2265.0000,46.1636,34.2545,34.4727,310.6727,5.0590,1.3463,27.8571,37.5043,data\raw\memory\logs\22_logsoftmax_forward\clk2265_r2_20260423_124457_power.csv
clk2205_r1_20260423_124505,2205,2205,2205.0000,2205.0000,45.6364,43.6364,43.6364,310.5273,5.0566,1.3392,24.9755,33.4480,data\raw\memory\logs\22_logsoftmax_forward\clk2205_r1_20260423_124505_power.csv
clk2205_r2_20260423_124511,2205,2205,2205.0000,2205.0000,46.1111,50.0000,50.0000,305.9074,4.9814,1.3390,27.8635,37.3095,data\raw\memory\logs\22_logsoftmax_forward\clk2205_r2_20260423_124511_power.csv
clk2145_r1_20260423_124519,2145,2145,2145.0000,2145.0000,45.1111,46.2963,46.2963,307.0741,5.0004,1.3297,23.8493,31.7135,data\raw\memory\logs\22_logsoftmax_forward\clk2145_r1_20260423_124519_power.csv
clk2145_r2_20260423_124525,2145,2145,2145.0000,2145.0000,45.6296,48.1481,48.1481,305.9630,4.9823,1.3300,27.2231,36.2058,data\raw\memory\logs\22_logsoftmax_forward\clk2145_r2_20260423_124525_power.csv
clk2085_r1_20260423_124533,2085,2085,2085.0000,2085.0000,44.9259,48.1481,48.1481,316.2778,5.1503,1.3147,24.4717,32.1723,data\raw\memory\logs\22_logsoftmax_forward\clk2085_r1_20260423_124533_power.csv
clk2085_r2_20260423_124539,2085,2085,2085.0000,2085.0000,44.9444,47.6481,48.1481,302.8889,4.9322,1.3148,25.8233,33.9531,data\raw\memory\logs\22_logsoftmax_forward\clk2085_r2_20260423_124539_power.csv
clk2025_r1_20260423_124547,2025,2025,2025.0000,2025.0000,44.3333,47.4815,48.1481,299.7037,4.8804,1.3098,21.3135,27.9155,data\raw\memory\logs\22_logsoftmax_forward\clk2025_r1_20260423_124547_power.csv
clk2025_r2_20260423_124553,2025,2025,2025.0000,2025.0000,44.6111,49.5000,50.0000,305.7407,4.9787,1.3087,25.3980,33.2380,data\raw\memory\logs\22_logsoftmax_forward\clk2025_r2_20260423_124553_power.csv
clk1965_r1_20260423_124601,1965,1965,1965.0000,1965.0000,44.1887,48.3774,49.0566,315.9245,5.1445,1.3144,22.3021,29.3146,data\raw\memory\logs\22_logsoftmax_forward\clk1965_r1_20260423_124601_power.csv
clk1965_r2_20260423_124607,1965,1965,1965.0000,1965.0000,44.3448,38.8103,36.3276,291.6552,4.7493,1.3193,23.7260,31.3021,data\raw\memory\logs\22_logsoftmax_forward\clk1965_r2_20260423_124607_power.csv
clk1905_r1_20260423_124616,1905,1905,1905.0000,1905.0000,44.0000,33.3333,33.3333,305.4259,4.9736,1.3207,21.5289,28.4322,data\raw\memory\logs\22_logsoftmax_forward\clk1905_r1_20260423_124616_power.csv
clk1905_r2_20260423_124622,1905,1905,1905.0000,1905.0000,44.2909,39.5455,40.7273,300.6182,4.8953,1.3201,23.2680,30.7172,data\raw\memory\logs\22_logsoftmax_forward\clk1905_r2_20260423_124622_power.csv
clk1845_r1_20260423_124630,1845,1845,1845.0000,1845.0000,43.6852,44.4444,44.4444,310.0741,5.0492,1.3297,21.1033,28.0604,data\raw\memory\logs\22_logsoftmax_forward\clk1845_r1_20260423_124630_power.csv
clk1845_r2_20260423_124636,1845,1845,1845.0000,1845.0000,43.9259,50.0000,50.0000,310.0741,5.0492,1.3303,23.2302,30.9042,data\raw\memory\logs\22_logsoftmax_forward\clk1845_r2_20260423_124636_power.csv
clk1785_r1_20260423_124644,1785,1785,1785.0000,1785.0000,43.4630,46.2963,46.2963,310.0926,5.0495,1.3401,20.1459,26.9985,data\raw\memory\logs\22_logsoftmax_forward\clk1785_r1_20260423_124644_power.csv
clk1785_r2_20260423_124650,1785,1785,1785.0000,1785.0000,43.4286,51.7857,51.7857,304.9821,4.9663,1.3453,22.1246,29.7645,data\raw\memory\logs\22_logsoftmax_forward\clk1785_r2_20260423_124650_power.csv
clk1725_r1_20260423_124658,1725,1725,1725.0000,1725.0000,43.0727,49.0909,49.0909,310.7455,5.0602,1.3534,19.2415,26.0406,data\raw\memory\logs\22_logsoftmax_forward\clk1725_r1_20260423_124658_power.csv
clk1725_r2_20260423_124704,1725,1725,1725.0000,1725.0000,43.3898,42.3729,42.3729,290.6949,4.7337,1.3533,20.5320,27.7855,data\raw\memory\logs\22_logsoftmax_forward\clk1725_r2_20260423_124704_power.csv
clk1665_r1_20260423_124713,1665,1665,1665.0000,1665.0000,42.9245,45.2830,45.2830,322.2453,5.2474,1.3672,19.7511,27.0044,data\raw\memory\logs\22_logsoftmax_forward\clk1665_r1_20260423_124713_power.csv
clk1665_r2_20260423_124719,1665,1665,1665.0000,1665.0000,43.0364,48.7636,49.0909,301.4909,4.9095,1.3669,21.5025,29.3927,data\raw\memory\logs\22_logsoftmax_forward\clk1665_r2_20260423_124719_power.csv
clk1605_r1_20260423_124727,1605,1605,1605.0000,1605.0000,42.5000,48.1481,48.1481,316.5000,5.1539,1.3843,17.9446,24.8407,data\raw\memory\logs\22_logsoftmax_forward\clk1605_r1_20260423_124727_power.csv
clk1605_r2_20260423_124733,1605,1605,1605.0000,1605.0000,42.8519,50.0000,50.0000,317.8148,5.1753,1.3859,21.3731,29.6212,data\raw\memory\logs\22_logsoftmax_forward\clk1605_r2_20260423_124733_power.csv
clk1545_r1_20260423_124741,1545,1545,1545.0000,1545.0000,42.4182,49.0909,49.0909,317.9273,5.1771,1.4079,18.6493,26.2556,data\raw\memory\logs\22_logsoftmax_forward\clk1545_r1_20260423_124741_power.csv
clk1545_r2_20260423_124747,1545,1545,1545.0000,1545.0000,42.4000,43.2000,42.7091,310.5273,5.0566,1.4085,20.4078,28.7440,data\raw\memory\logs\22_logsoftmax_forward\clk1545_r2_20260423_124747_power.csv
clk1485_r1_20260423_124756,1485,1485,1485.0000,1485.0000,42.2182,41.8182,41.8182,322.1818,5.2464,1.4333,17.8845,25.6345,data\raw\memory\logs\22_logsoftmax_forward\clk1485_r1_20260423_124756_power.csv
clk1485_r2_20260423_124802,1485,1485,1485.0000,1485.0000,42.3214,50.0000,50.0000,315.1429,5.1318,1.4336,20.0121,28.6897,data\raw\memory\logs\22_logsoftmax_forward\clk1485_r2_20260423_124802_power.csv
clk1425_r1_20260423_124810,1425,1425,1425.0000,1425.0000,41.8772,47.3684,47.3684,316.5965,5.1555,1.4643,17.7819,26.0382,data\raw\memory\logs\22_logsoftmax_forward\clk1425_r1_20260423_124810_power.csv
clk1425_r2_20260423_124816,1425,1425,1425.0000,1425.0000,42.0862,41.3793,41.3793,308.3103,5.0205,1.4645,19.7638,28.9439,data\raw\memory\logs\22_logsoftmax_forward\clk1425_r2_20260423_124816_power.csv
clk1365_r1_20260423_124825,1365,1365,1365.0000,1365.0000,41.4737,47.0526,47.3684,319.7544,5.2069,1.5030,17.5535,26.3828,data\raw\memory\logs\22_logsoftmax_forward\clk1365_r1_20260423_124825_power.csv
clk1365_r2_20260423_124831,1365,1365,1365.0000,1365.0000,41.6316,47.3684,47.3684,319.7368,5.2066,1.5027,19.2358,28.9051,data\raw\memory\logs\22_logsoftmax_forward\clk1365_r2_20260423_124831_power.csv
