run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_134728,3105,3105,2520.0000,2520.0000,50.1813,66.3212,66.3212,417.2953,6.7952,7.1328,40.1875,286.6500,data\raw\memory\logs\23_layer_norm\clk3105_r1_20260423_134728_power.csv
clk3105_r2_20260423_134749,3105,3105,2520.0000,2520.0000,50.8667,65.9179,65.7795,414.5590,6.7507,7.1327,41.0516,292.8093,data\raw\memory\logs\23_layer_norm\clk3105_r2_20260423_134749_power.csv
clk3045_r1_20260423_134813,3045,3045,2520.0000,2520.0000,50.8429,66.5393,66.5393,424.1780,6.9073,7.1333,40.5002,288.8984,data\raw\memory\logs\23_layer_norm\clk3045_r1_20260423_134813_power.csv
clk3045_r2_20260423_134834,3045,3045,2520.0000,2520.0000,51.2732,68.9330,69.0722,416.0722,6.7753,7.1328,40.9417,292.0275,data\raw\memory\logs\23_layer_norm\clk3045_r2_20260423_134834_power.csv
clk2985_r1_20260423_134858,2985,2985,2509.7074,2520.0000,51.2979,70.7447,70.7447,428.2128,6.9730,7.1334,40.1755,286.5899,data\raw\memory\logs\23_layer_norm\clk2985_r1_20260423_134858_power.csv
clk2985_r2_20260423_134918,2985,2985,2505.0000,2505.0000,53.2050,80.8696,80.9627,500.0373,8.1426,7.1331,47.0320,335.4837,data\raw\memory\logs\23_layer_norm\clk2985_r2_20260423_134918_power.csv
clk2925_r1_20260423_134938,2925,2925,2505.0000,2505.0000,53.0062,79.5031,79.5031,499.0497,8.1265,7.1308,45.7339,326.1209,data\raw\memory\logs\23_layer_norm\clk2925_r1_20260423_134938_power.csv
clk2925_r2_20260423_134956,2925,2925,2505.0000,2505.0000,53.8250,80.3312,79.4313,504.7750,8.2198,7.1325,47.5423,339.0970,data\raw\memory\logs\23_layer_norm\clk2925_r2_20260423_134956_power.csv
clk2865_r1_20260423_135016,2865,2865,2505.0000,2505.0000,53.5812,81.5000,81.7250,500.2125,8.1455,7.1328,46.1681,329.3068,data\raw\memory\logs\23_layer_norm\clk2865_r1_20260423_135016_power.csv
clk2865_r2_20260423_135033,2865,2865,2505.0000,2505.0000,54.1779,80.1963,80.4663,496.4969,8.0850,7.1302,47.0061,335.1630,data\raw\memory\logs\23_layer_norm\clk2865_r2_20260423_135033_power.csv
