run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_141619,3105,3105,2520.0000,2520.0000,49.8932,67.9612,67.9612,559.3786,9.1089,4.0402,39.0217,157.6563,data\raw\memory\logs\24_l2_norm_reduction\clk3105_r1_20260423_141619_power.csv
clk3105_r2_20260423_141631,3105,3105,2520.0000,2520.0000,50.3333,73.1429,73.4667,547.4667,8.9149,4.0389,40.2339,162.5006,data\raw\memory\logs\24_l2_norm_reduction\clk3105_r2_20260423_141631_power.csv
clk3045_r1_20260423_141644,3045,3045,2520.0000,2520.0000,50.1442,68.2692,68.2692,550.2885,8.9609,4.0400,38.7766,156.6574,data\raw\memory\logs\24_l2_norm_reduction\clk3045_r1_20260423_141644_power.csv
clk3045_r2_20260423_141656,3045,3045,2520.0000,2520.0000,50.5370,69.0741,67.3148,536.6944,8.7395,4.0395,40.3111,162.8380,data\raw\memory\logs\24_l2_norm_reduction\clk3045_r2_20260423_141656_power.csv
clk2985_r1_20260423_141710,2985,2985,2520.0000,2520.0000,50.3204,69.9029,69.9029,555.6311,9.0479,4.0396,39.4472,159.3512,data\raw\memory\logs\24_l2_norm_reduction\clk2985_r1_20260423_141710_power.csv
clk2985_r2_20260423_141721,2985,2985,2520.0000,2520.0000,50.9143,65.8095,65.8095,544.9905,8.8746,4.0441,40.4558,163.6061,data\raw\memory\logs\24_l2_norm_reduction\clk2985_r2_20260423_141721_power.csv
clk2925_r1_20260423_141735,2925,2925,2520.0000,2520.0000,50.6765,70.5882,70.5882,560.9804,9.1350,4.0425,39.4370,159.4220,data\raw\memory\logs\24_l2_norm_reduction\clk2925_r1_20260423_141735_power.csv
clk2925_r2_20260423_141746,2925,2925,2520.0000,2520.0000,51.2981,73.6058,74.0385,550.2885,8.9609,4.0421,41.2864,166.8825,data\raw\memory\logs\24_l2_norm_reduction\clk2925_r2_20260423_141746_power.csv
clk2865_r1_20260423_141759,2865,2865,2520.0000,2520.0000,50.7961,68.9320,68.9320,555.5340,9.0463,4.0391,39.5459,159.7300,data\raw\memory\logs\24_l2_norm_reduction\clk2865_r1_20260423_141759_power.csv
clk2865_r2_20260423_141811,2865,2865,2520.0000,2520.0000,51.3524,72.0286,72.1429,548.7238,8.9354,4.0400,40.8003,164.8313,data\raw\memory\logs\24_l2_norm_reduction\clk2865_r2_20260423_141811_power.csv
clk2805_r1_20260423_141824,2805,2805,2520.0000,2520.0000,50.8738,68.9320,68.9320,562.7476,9.1638,4.0403,38.6671,156.2285,data\raw\memory\logs\24_l2_norm_reduction\clk2805_r1_20260423_141824_power.csv
clk2805_r2_20260423_141836,2805,2805,2520.0000,2520.0000,51.4712,71.2692,71.7885,546.8558,8.9050,4.0405,40.6838,164.3835,data\raw\memory\logs\24_l2_norm_reduction\clk2805_r2_20260423_141836_power.csv
clk2745_r1_20260423_141849,2745,2745,2520.0000,2520.0000,50.9406,68.3168,68.3168,566.6535,9.2274,4.0413,38.7564,156.6265,data\raw\memory\logs\24_l2_norm_reduction\clk2745_r1_20260423_141849_power.csv
clk2745_r2_20260423_141901,2745,2745,2520.0000,2520.0000,51.5340,72.8155,72.8155,559.5340,9.1114,4.0406,41.3717,167.1661,data\raw\memory\logs\24_l2_norm_reduction\clk2745_r2_20260423_141901_power.csv
clk2685_r1_20260423_141914,2685,2685,2520.0000,2520.0000,51.0392,74.0686,74.5098,560.9804,9.1350,4.0406,38.8278,156.8869,data\raw\memory\logs\24_l2_norm_reduction\clk2685_r1_20260423_141914_power.csv
clk2685_r2_20260423_141925,2685,2685,2520.0000,2520.0000,51.5243,73.2621,73.7864,555.5437,9.0465,4.0400,41.2440,166.6248,data\raw\memory\logs\24_l2_norm_reduction\clk2685_r2_20260423_141925_power.csv
clk2625_r1_20260423_141939,2625,2625,2520.0000,2520.0000,51.3069,71.2871,71.2871,566.5347,9.2254,4.0404,39.7787,160.7222,data\raw\memory\logs\24_l2_norm_reduction\clk2625_r1_20260423_141939_power.csv
clk2625_r2_20260423_141950,2625,2625,2520.0000,2520.0000,51.5825,71.8835,72.9126,559.3786,9.1089,4.0407,40.9937,165.6427,data\raw\memory\logs\24_l2_norm_reduction\clk2625_r2_20260423_141950_power.csv
clk2565_r1_20260423_142003,2565,2565,2520.0000,2520.0000,51.2970,68.3168,68.3168,570.4554,9.2893,4.0384,40.1154,162.0041,data\raw\memory\logs\24_l2_norm_reduction\clk2565_r1_20260423_142003_power.csv
clk2565_r2_20260423_142015,2565,2565,2520.0000,2520.0000,51.6286,71.4286,71.4286,544.8286,8.8720,4.0399,40.3665,163.0775,data\raw\memory\logs\24_l2_norm_reduction\clk2565_r2_20260423_142015_power.csv
clk2505_r1_20260423_142028,2505,2505,2505.0000,2505.0000,51.2427,68.8252,67.2524,559.3786,9.1089,4.0402,39.3692,159.0604,data\raw\memory\logs\24_l2_norm_reduction\clk2505_r1_20260423_142028_power.csv
clk2505_r2_20260423_142040,2505,2505,2505.0000,2505.0000,51.5865,74.0385,74.0385,550.2885,8.9609,4.0411,41.1603,166.3344,data\raw\memory\logs\24_l2_norm_reduction\clk2505_r2_20260423_142040_power.csv
clk2445_r1_20260423_142053,2445,2445,2445.0000,2445.0000,50.9320,73.8835,74.7573,559.3786,9.1089,4.0398,37.6994,152.2971,data\raw\memory\logs\24_l2_norm_reduction\clk2445_r1_20260423_142053_power.csv
clk2445_r2_20260423_142104,2445,2445,2445.0000,2445.0000,51.3048,73.0476,73.3333,544.9524,8.8740,4.0389,39.6972,160.3351,data\raw\memory\logs\24_l2_norm_reduction\clk2445_r2_20260423_142104_power.csv
clk2385_r1_20260423_142118,2385,2385,2385.0000,2385.0000,50.0459,66.9725,66.9725,539.2477,8.7811,4.0409,34.7190,140.2969,data\raw\memory\logs\24_l2_norm_reduction\clk2385_r1_20260423_142118_power.csv
clk2385_r2_20260423_142130,2385,2385,2385.0000,2385.0000,50.3084,68.0374,66.6916,552.4953,8.9968,4.0409,36.6595,148.1366,data\raw\memory\logs\24_l2_norm_reduction\clk2385_r2_20260423_142130_power.csv
clk2325_r1_20260423_142144,2325,2325,2325.0000,2325.0000,49.3585,72.1415,73.5000,553.9717,9.0209,4.0399,34.0230,137.4488,data\raw\memory\logs\24_l2_norm_reduction\clk2325_r1_20260423_142144_power.csv
clk2325_r2_20260423_142156,2325,2325,2325.0000,2325.0000,49.5185,71.9444,72.1759,543.5741,8.8516,4.0401,35.1413,141.9744,data\raw\memory\logs\24_l2_norm_reduction\clk2325_r2_20260423_142156_power.csv
clk2265_r1_20260423_142210,2265,2265,2265.0000,2265.0000,48.8000,69.5238,69.5238,559.1048,9.1045,4.0422,33.3178,134.6774,data\raw\memory\logs\24_l2_norm_reduction\clk2265_r1_20260423_142210_power.csv
clk2265_r2_20260423_142221,2265,2265,2265.0000,2265.0000,49.0381,67.6190,67.6190,559.0762,9.1040,4.0405,34.2664,138.4549,data\raw\memory\logs\24_l2_norm_reduction\clk2265_r2_20260423_142221_power.csv
clk2205_r1_20260423_142235,2205,2205,2205.0000,2205.0000,48.5000,69.2308,69.2308,561.1442,9.1377,4.0405,32.6625,131.9729,data\raw\memory\logs\24_l2_norm_reduction\clk2205_r1_20260423_142235_power.csv
clk2205_r2_20260423_142246,2205,2205,2205.0000,2205.0000,48.6762,69.5238,69.5238,559.0952,9.1043,4.0395,33.6780,136.0425,data\raw\memory\logs\24_l2_norm_reduction\clk2205_r2_20260423_142246_power.csv
