run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_143613,3105,3105,2520.0000,2520.0000,45.5000,48.1481,48.1481,230.0741,3.7465,1.2859,28.7935,37.0269,data\raw\memory\logs\25_sum_reduction\clk3105_r1_20260423_143613_power.csv
clk3105_r2_20260423_143619,3105,3105,2520.0000,2520.0000,45.7193,36.4737,33.0000,220.6842,3.5936,1.2748,30.0074,38.2526,data\raw\memory\logs\25_sum_reduction\clk3105_r2_20260423_143619_power.csv
clk3045_r1_20260423_143628,3045,3045,2520.0000,2520.0000,45.6111,33.3333,33.3333,225.0000,3.6639,1.2752,28.1815,35.9379,data\raw\memory\logs\25_sum_reduction\clk3045_r1_20260423_143628_power.csv
clk3045_r2_20260423_143634,3045,3045,2520.0000,2520.0000,45.8966,44.3621,44.8276,209.2586,3.4076,1.2749,30.5300,38.9221,data\raw\memory\logs\25_sum_reduction\clk3045_r2_20260423_143634_power.csv
clk2985_r1_20260423_143642,2985,2985,2520.0000,2520.0000,45.6981,48.6038,49.0566,229.4717,3.7367,1.2751,27.1240,34.5870,data\raw\memory\logs\25_sum_reduction\clk2985_r1_20260423_143642_power.csv
clk2985_r2_20260423_143648,2985,2985,2520.0000,2520.0000,46.2000,50.9091,50.9091,219.1636,3.5689,1.2754,31.1391,39.7144,data\raw\memory\logs\25_sum_reduction\clk2985_r2_20260423_143648_power.csv
clk2925_r1_20260423_143656,2925,2925,2520.0000,2520.0000,46.0364,37.4727,34.8545,221.0909,3.6002,1.2755,27.8111,35.4726,data\raw\memory\logs\25_sum_reduction\clk2925_r1_20260423_143656_power.csv
clk2925_r2_20260423_143702,2925,2925,2520.0000,2520.0000,46.4643,32.1429,32.1429,217.3036,3.5386,1.2751,30.2134,38.5263,data\raw\memory\logs\25_sum_reduction\clk2925_r2_20260423_143702_power.csv
clk2865_r1_20260423_143711,2865,2865,2520.0000,2520.0000,45.9623,34.2642,34.3396,229.4340,3.7361,1.2750,28.6730,36.5576,data\raw\memory\logs\25_sum_reduction\clk2865_r1_20260423_143711_power.csv
clk2865_r2_20260423_143717,2865,2865,2520.0000,2520.0000,46.4561,44.1404,44.2105,219.0877,3.5676,1.2763,30.2411,38.5977,data\raw\memory\logs\25_sum_reduction\clk2865_r2_20260423_143717_power.csv
clk2805_r1_20260423_143725,2805,2805,2520.0000,2520.0000,46.2885,47.5577,48.0769,233.8269,3.8076,1.2750,28.0394,35.7490,data\raw\memory\logs\25_sum_reduction\clk2805_r1_20260423_143725_power.csv
clk2805_r2_20260423_143731,2805,2805,2520.0000,2520.0000,46.7321,50.0000,50.0000,217.6786,3.5447,1.2754,31.0714,39.6277,data\raw\memory\logs\25_sum_reduction\clk2805_r2_20260423_143731_power.csv
clk2745_r1_20260423_143739,2745,2745,2520.0000,2520.0000,46.0556,36.1667,33.5000,217.5926,3.5433,1.2754,26.3278,33.5793,data\raw\memory\logs\25_sum_reduction\clk2745_r1_20260423_143739_power.csv
clk2745_r2_20260423_143745,2745,2745,2520.0000,2520.0000,46.9815,38.0000,36.1667,225.0185,3.6642,1.2760,31.8469,40.6362,data\raw\memory\logs\25_sum_reduction\clk2745_r2_20260423_143745_power.csv
clk2685_r1_20260423_143753,2685,2685,2520.0000,2520.0000,46.3333,33.3333,33.3333,217.8148,3.5469,1.2748,27.6107,35.1981,data\raw\memory\logs\25_sum_reduction\clk2685_r1_20260423_143753_power.csv
clk2685_r2_20260423_143759,2685,2685,2520.0000,2520.0000,47.0926,37.1667,34.3333,225.3704,3.6699,1.2751,32.5465,41.5001,data\raw\memory\logs\25_sum_reduction\clk2685_r2_20260423_143759_power.csv
clk2625_r1_20260423_143807,2625,2625,2520.0000,2520.0000,46.1667,33.3333,33.3333,219.3333,3.5716,1.2754,26.8867,34.2924,data\raw\memory\logs\25_sum_reduction\clk2625_r1_20260423_143807_power.csv
clk2625_r2_20260423_143814,2625,2625,2520.0000,2520.0000,46.9623,34.3019,34.3019,236.9057,3.8578,1.2880,32.4443,41.7877,data\raw\memory\logs\25_sum_reduction\clk2625_r2_20260423_143814_power.csv
clk2565_r1_20260423_143822,2565,2565,2520.0000,2520.0000,46.4423,39.8077,37.3846,233.8269,3.8076,1.2747,28.1137,35.8369,data\raw\memory\logs\25_sum_reduction\clk2565_r1_20260423_143822_power.csv
clk2565_r2_20260423_143827,2565,2565,2520.0000,2520.0000,46.9444,44.6296,46.2963,217.8704,3.5478,1.2768,31.4522,40.1584,data\raw\memory\logs\25_sum_reduction\clk2565_r2_20260423_143827_power.csv
clk2505_r1_20260423_143835,2505,2505,2505.0000,2505.0000,46.3962,42.2830,42.7925,229.4340,3.7361,1.2749,27.8274,35.4778,data\raw\memory\logs\25_sum_reduction\clk2505_r1_20260423_143835_power.csv
clk2505_r2_20260423_143841,2505,2505,2505.0000,2505.0000,46.8909,41.2545,40.1091,221.0909,3.6002,1.2748,32.4702,41.3914,data\raw\memory\logs\25_sum_reduction\clk2505_r2_20260423_143841_power.csv
clk2445_r1_20260423_143850,2445,2445,2445.0000,2445.0000,46.0566,40.4151,38.0377,229.0755,3.7303,1.2754,27.8636,35.5375,data\raw\memory\logs\25_sum_reduction\clk2445_r1_20260423_143850_power.csv
clk2445_r2_20260423_143855,2445,2445,2445.0000,2445.0000,46.7547,48.9057,50.9434,229.4340,3.7361,1.2754,30.0762,38.3596,data\raw\memory\logs\25_sum_reduction\clk2445_r2_20260423_143855_power.csv
clk2385_r1_20260423_143903,2385,2385,2385.0000,2385.0000,45.9444,35.8333,34.3333,225.0000,3.6639,1.2751,26.6078,33.9268,data\raw\memory\logs\25_sum_reduction\clk2385_r1_20260423_143903_power.csv
clk2385_r2_20260423_143909,2385,2385,2385.0000,2385.0000,46.0556,40.0000,37.6667,218.7593,3.5623,1.2749,28.7209,36.6174,data\raw\memory\logs\25_sum_reduction\clk2385_r2_20260423_143909_power.csv
clk2325_r1_20260423_143917,2325,2325,2325.0000,2325.0000,45.3148,36.3333,33.8333,224.9630,3.6633,1.2755,24.2024,30.8708,data\raw\memory\logs\25_sum_reduction\clk2325_r1_20260423_143917_power.csv
clk2325_r2_20260423_143923,2325,2325,2325.0000,2325.0000,45.7037,41.0000,41.5000,225.3889,3.6702,1.2752,28.1115,35.8480,data\raw\memory\logs\25_sum_reduction\clk2325_r2_20260423_143923_power.csv
clk2265_r1_20260423_143932,2265,2265,2265.0000,2265.0000,44.8704,33.3333,33.3333,217.8704,3.5478,1.2757,23.3372,29.7703,data\raw\memory\logs\25_sum_reduction\clk2265_r1_20260423_143932_power.csv
clk2265_r2_20260423_143938,2265,2265,2265.0000,2265.0000,45.3273,32.7273,32.7273,220.6000,3.5922,1.2766,25.8036,32.9400,data\raw\memory\logs\25_sum_reduction\clk2265_r2_20260423_143938_power.csv
clk2205_r1_20260423_143946,2205,2205,2205.0000,2205.0000,44.4182,43.6364,43.6364,220.9091,3.5973,1.2757,22.5762,28.8009,data\raw\memory\logs\25_sum_reduction\clk2205_r1_20260423_143946_power.csv
