run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_144757,3105,3105,2520.0000,2520.0000,42.6571,40.0000,40.0000,191.4714,3.1179,1.2770,24.2244,30.9335,data\raw\memory\logs\26_mean_reduction\clk3105_r1_20260423_144757_power.csv
clk3105_r2_20260423_144804,3105,3105,2520.0000,2520.0000,43.2564,23.5385,23.0769,171.9359,2.7998,1.2761,26.0918,33.2952,data\raw\memory\logs\26_mean_reduction\clk3105_r2_20260423_144804_power.csv
clk3045_r1_20260423_144815,3045,3045,2520.0000,2520.0000,43.1184,35.1711,35.5263,181.8158,2.9607,1.2756,23.5191,30.0012,data\raw\memory\logs\26_mean_reduction\clk3045_r1_20260423_144815_power.csv
clk3045_r2_20260423_144824,3045,3045,2520.0000,2520.0000,43.7831,27.5542,28.4217,157.5904,2.5662,1.2761,25.0396,31.9534,data\raw\memory\logs\26_mean_reduction\clk3045_r2_20260423_144824_power.csv
clk2985_r1_20260423_144835,2985,2985,2520.0000,2520.0000,43.3766,35.0649,35.0649,174.6753,2.8444,1.2760,23.5349,30.0315,data\raw\memory\logs\26_mean_reduction\clk2985_r1_20260423_144835_power.csv
clk2985_r2_20260423_144843,2985,2985,2520.0000,2520.0000,43.8000,23.7500,23.7500,168.7250,2.7475,1.2754,25.6639,32.7322,data\raw\memory\logs\26_mean_reduction\clk2985_r2_20260423_144843_power.csv
clk2925_r1_20260423_144854,2925,2925,2520.0000,2520.0000,43.2949,23.1923,23.1923,166.6667,2.7140,1.2758,22.7586,29.0348,data\raw\memory\logs\26_mean_reduction\clk2925_r1_20260423_144854_power.csv
clk2925_r2_20260423_144903,2925,2925,2520.0000,2520.0000,43.8228,34.1772,34.1772,174.7848,2.8462,1.2763,25.1976,32.1601,data\raw\memory\logs\26_mean_reduction\clk2925_r2_20260423_144903_power.csv
clk2865_r1_20260423_144914,2865,2865,2520.0000,2520.0000,43.4568,34.5679,34.5679,165.7037,2.6983,1.2754,23.8210,30.3814,data\raw\memory\logs\26_mean_reduction\clk2865_r1_20260423_144914_power.csv
clk2865_r2_20260423_144923,2865,2865,2520.0000,2520.0000,44.0260,23.3766,23.3766,174.0649,2.8345,1.2783,25.2353,32.2586,data\raw\memory\logs\26_mean_reduction\clk2865_r2_20260423_144923_power.csv
clk2805_r1_20260423_144933,2805,2805,2520.0000,2520.0000,43.2043,29.0323,29.0323,148.8925,2.4246,1.2808,21.1874,27.1368,data\raw\memory\logs\26_mean_reduction\clk2805_r1_20260423_144933_power.csv
clk2805_r2_20260423_144943,2805,2805,2520.0000,2520.0000,43.6154,29.6703,29.6703,147.2857,2.3984,1.2754,24.1734,30.8310,data\raw\memory\logs\26_mean_reduction\clk2805_r2_20260423_144943_power.csv
clk2745_r1_20260423_144956,2745,2745,2520.0000,2520.0000,43.1839,20.7931,20.7931,154.2989,2.5126,1.2764,21.5571,27.5155,data\raw\memory\logs\26_mean_reduction\clk2745_r1_20260423_144956_power.csv
clk2745_r2_20260423_145005,2745,2745,2520.0000,2520.0000,43.6180,21.9438,20.5281,150.7079,2.4541,1.2774,23.6371,30.1937,data\raw\memory\logs\26_mean_reduction\clk2745_r2_20260423_145005_power.csv
clk2685_r1_20260423_145017,2685,2685,2520.0000,2520.0000,42.9783,19.6739,19.5652,145.9239,2.3762,1.2777,21.2051,27.0938,data\raw\memory\logs\26_mean_reduction\clk2685_r1_20260423_145017_power.csv
clk2685_r2_20260423_145027,2685,2685,2520.0000,2520.0000,43.5684,28.4211,28.4211,149.9053,2.4411,1.2758,23.2532,29.6671,data\raw\memory\logs\26_mean_reduction\clk2685_r2_20260423_145027_power.csv
clk2625_r1_20260423_145040,2625,2625,2520.0000,2520.0000,43.4691,33.3333,33.3333,165.6790,2.6979,1.2782,23.7721,30.3865,data\raw\memory\logs\26_mean_reduction\clk2625_r1_20260423_145040_power.csv
clk2625_r2_20260423_145049,2625,2625,2520.0000,2520.0000,44.2237,23.8026,23.8026,176.4605,2.8735,1.2766,26.7184,34.1089,data\raw\memory\logs\26_mean_reduction\clk2625_r2_20260423_145049_power.csv
