run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_150217,3105,3105,2520.0000,2520.0000,46.3103,30.3793,30.2241,241.2931,3.9292,1.0952,28.4362,31.1423,data\raw\memory\logs\27_index_select\clk3105_r1_20260423_150217_power.csv
clk3105_r2_20260423_150223,3105,3105,2520.0000,2520.0000,46.7231,29.2308,29.2308,224.9692,3.6634,1.0915,29.8511,32.5819,data\raw\memory\logs\27_index_select\clk3105_r2_20260423_150223_power.csv
clk3045_r1_20260423_150233,3045,3045,2520.0000,2520.0000,46.3871,28.8710,27.5645,215.2742,3.5055,1.0950,25.6568,28.0949,data\raw\memory\logs\27_index_select\clk3045_r1_20260423_150233_power.csv
clk3045_r2_20260423_150240,3045,3045,2514.5000,2520.0000,47.5500,31.6667,31.6667,246.8500,4.0197,1.0951,32.6053,35.7047,data\raw\memory\logs\27_index_select\clk3045_r2_20260423_150240_power.csv
clk2985_r1_20260423_150248,2985,2985,2514.7500,2520.0000,46.4667,30.0000,30.0000,228.6500,3.7233,1.0953,25.9910,28.4688,data\raw\memory\logs\27_index_select\clk2985_r1_20260423_150248_power.csv
clk2985_r2_20260423_150255,2985,2985,2512.5000,2520.0000,48.3889,33.3333,33.3333,262.0741,4.2676,1.0970,33.5889,36.8470,data\raw\memory\logs\27_index_select\clk2985_r2_20260423_150255_power.csv
clk2925_r1_20260423_150303,2925,2925,2514.6094,2520.0000,46.6719,28.1250,28.1250,227.2188,3.7000,1.0908,27.6091,30.1150,data\raw\memory\logs\27_index_select\clk2925_r1_20260423_150303_power.csv
clk2925_r2_20260423_150310,2925,2925,2514.9194,2520.0000,47.5645,29.0323,29.0323,235.9839,3.8428,1.0928,30.3277,33.1421,data\raw\memory\logs\27_index_select\clk2925_r2_20260423_150310_power.csv
clk2865_r1_20260423_150319,2865,2865,2515.0000,2520.0000,47.7368,45.6140,45.6140,245.4386,3.9967,1.0949,29.5875,32.3960,data\raw\memory\logs\27_index_select\clk2865_r1_20260423_150319_power.csv
clk2865_r2_20260423_150325,2865,2865,2515.8462,2520.0000,48.1385,29.2308,29.2308,204.8462,3.3357,1.0931,29.2768,32.0031,data\raw\memory\logs\27_index_select\clk2865_r2_20260423_150325_power.csv
clk2805_r1_20260423_150335,2805,2805,2515.0962,2520.0000,48.2115,32.6923,32.6923,248.3269,4.0438,1.0953,28.6546,31.3855,data\raw\memory\logs\27_index_select\clk2805_r1_20260423_150335_power.csv
clk2805_r2_20260423_150341,2805,2805,2514.4737,2520.0000,48.9825,33.3333,33.3333,243.1404,3.9593,1.0952,32.9386,36.0757,data\raw\memory\logs\27_index_select\clk2805_r2_20260423_150341_power.csv
clk2745_r1_20260423_150349,2745,2745,2516.1429,2520.0000,47.9857,39.7429,40.0000,287.6286,4.6837,1.0952,31.0914,34.0518,data\raw\memory\logs\27_index_select\clk2745_r1_20260423_150349_power.csv
clk2745_r2_20260423_150357,2745,2745,2515.2000,2520.0000,47.3333,26.5600,26.7200,184.8400,3.0099,1.0954,24.6041,26.9514,data\raw\memory\logs\27_index_select\clk2745_r2_20260423_150357_power.csv
clk2685_r1_20260423_150407,2685,2685,2511.1538,2520.0000,49.4615,24.3590,24.3590,182.9744,2.9796,1.0969,24.8582,27.2671,data\raw\memory\logs\27_index_select\clk2685_r1_20260423_150407_power.csv
clk2685_r2_20260423_150416,2685,2685,2505.0000,2505.0000,51.5556,28.5714,28.5714,222.0476,3.6158,1.0965,30.2057,33.1214,data\raw\memory\logs\27_index_select\clk2685_r2_20260423_150416_power.csv
clk2625_r1_20260423_150425,2625,2625,2505.0000,2505.0000,52.6111,33.3333,33.3333,256.5926,4.1784,1.0944,30.3648,33.2300,data\raw\memory\logs\27_index_select\clk2625_r1_20260423_150425_power.csv
clk2625_r2_20260423_150431,2625,2625,2505.0000,2505.0000,53.3538,31.5077,32.2000,206.8615,3.3685,1.0919,29.5982,32.3194,data\raw\memory\logs\27_index_select\clk2625_r2_20260423_150431_power.csv
clk2565_r1_20260423_150440,2565,2565,2505.0000,2505.0000,54.3846,34.6154,34.6154,279.5000,4.5514,1.0943,30.4506,33.3215,data\raw\memory\logs\27_index_select\clk2565_r1_20260423_150440_power.csv
clk2565_r2_20260423_150446,2565,2565,2505.0000,2505.0000,54.9500,32.5000,30.3333,252.5833,4.1131,1.1119,32.0590,35.6452,data\raw\memory\logs\27_index_select\clk2565_r2_20260423_150446_power.csv
clk2505_r1_20260423_150455,2505,2505,2505.0000,2505.0000,55.2182,39.5091,40.0000,234.6000,3.8202,1.0958,27.6240,30.2705,data\raw\memory\logs\27_index_select\clk2505_r1_20260423_150455_power.csv
clk2505_r2_20260423_150501,2505,2505,2505.0000,2505.0000,56.3000,38.3333,38.3333,224.1000,3.6492,1.0958,32.3535,35.4514,data\raw\memory\logs\27_index_select\clk2505_r2_20260423_150501_power.csv
clk2445_r1_20260423_150510,2445,2445,2445.0000,2445.0000,55.9455,32.7273,32.7273,241.9091,3.9392,1.1009,27.3895,30.1524,data\raw\memory\logs\27_index_select\clk2445_r1_20260423_150510_power.csv
clk2445_r2_20260423_150516,2445,2445,2445.0000,2445.0000,57.5490,35.2941,35.2941,260.8824,4.2482,1.0984,33.4445,36.7357,data\raw\memory\logs\27_index_select\clk2445_r2_20260423_150516_power.csv
clk2385_r1_20260423_150524,2385,2385,2385.0000,2385.0000,55.6765,26.4706,26.4706,233.6912,3.8054,1.1075,26.9453,29.8426,data\raw\memory\logs\27_index_select\clk2385_r1_20260423_150524_power.csv
clk2385_r2_20260423_150531,2385,2385,2385.0000,2385.0000,55.2418,19.7802,19.7802,170.3846,2.7745,1.1059,23.9043,26.4349,data\raw\memory\logs\27_index_select\clk2385_r2_20260423_150531_power.csv
clk2325_r1_20260423_150543,2325,2325,2325.0000,2325.0000,54.6889,27.4778,27.7778,164.5000,2.6787,1.1066,20.4346,22.6121,data\raw\memory\logs\27_index_select\clk2325_r1_20260423_150543_power.csv
clk2325_r2_20260423_150553,2325,2325,2325.0000,2325.0000,55.8088,27.9412,27.9412,214.8971,3.4994,1.1088,25.7350,28.5355,data\raw\memory\logs\27_index_select\clk2325_r2_20260423_150553_power.csv
clk2265_r1_20260423_150603,2265,2265,2265.0000,2265.0000,55.5077,33.0000,33.2308,219.4000,3.5727,1.1102,22.5429,25.0278,data\raw\memory\logs\27_index_select\clk2265_r1_20260423_150603_power.csv
clk2265_r2_20260423_150610,2265,2265,2265.0000,2265.0000,55.1045,30.0597,30.1045,200.7761,3.2694,1.1126,25.7499,28.6502,data\raw\memory\logs\27_index_select\clk2265_r2_20260423_150610_power.csv
clk2205_r1_20260423_150620,2205,2205,2205.0000,2205.0000,53.4815,35.1852,35.1852,249.0000,4.0547,1.1172,23.0272,25.7255,data\raw\memory\logs\27_index_select\clk2205_r1_20260423_150620_power.csv
clk2205_r2_20260423_150626,2205,2205,2205.0000,2205.0000,53.0185,33.3333,33.3333,247.0185,4.0224,1.1192,27.2044,30.4480,data\raw\memory\logs\27_index_select\clk2205_r2_20260423_150626_power.csv
clk2145_r1_20260423_150634,2145,2145,2145.0000,2145.0000,51.4118,33.3333,33.3333,263.6471,4.2932,1.1227,22.7980,25.5962,data\raw\memory\logs\27_index_select\clk2145_r1_20260423_150634_power.csv
clk2145_r2_20260423_150640,2145,2145,2145.0000,2145.0000,51.9020,47.0588,47.0588,257.1373,4.1872,1.1234,27.7494,31.1747,data\raw\memory\logs\27_index_select\clk2145_r2_20260423_150640_power.csv
clk2085_r1_20260423_150647,2085,2085,2085.0000,2085.0000,49.7000,36.0000,36.0000,258.2400,4.2052,1.1302,21.8250,24.6669,data\raw\memory\logs\27_index_select\clk2085_r1_20260423_150647_power.csv
clk2085_r2_20260423_150653,2085,2085,2085.0000,2085.0000,49.9643,38.0000,38.3571,247.4464,4.0294,1.1341,25.6093,29.0424,data\raw\memory\logs\27_index_select\clk2085_r2_20260423_150653_power.csv
clk2025_r1_20260423_150701,2025,2025,2025.0000,2025.0000,48.9216,35.2941,35.2941,271.6863,4.4241,1.1374,20.7410,23.5912,data\raw\memory\logs\27_index_select\clk2025_r1_20260423_150701_power.csv
clk2025_r2_20260423_150707,2025,2025,2025.0000,2025.0000,49.2075,33.9623,33.9623,259.2075,4.2209,1.1379,24.1083,27.4326,data\raw\memory\logs\27_index_select\clk2025_r2_20260423_150707_power.csv
clk1965_r1_20260423_150715,1965,1965,1965.0000,1965.0000,47.7843,33.3333,33.3333,260.8824,4.2482,1.1457,20.4406,23.4190,data\raw\memory\logs\27_index_select\clk1965_r1_20260423_150715_power.csv
clk1965_r2_20260423_150721,1965,1965,1965.0000,1965.0000,48.0741,31.6481,31.6481,251.8889,4.1018,1.1447,24.5739,28.1305,data\raw\memory\logs\27_index_select\clk1965_r2_20260423_150721_power.csv
clk1905_r1_20260423_150729,1905,1905,1905.0000,1905.0000,47.1600,34.4800,34.1200,258.4000,4.2078,1.1521,19.3334,22.2740,data\raw\memory\logs\27_index_select\clk1905_r1_20260423_150729_power.csv
clk1905_r2_20260423_150734,1905,1905,1905.0000,1905.0000,47.1429,50.0000,50.0000,258.8750,4.2155,1.1534,23.2032,26.7620,data\raw\memory\logs\27_index_select\clk1905_r2_20260423_150734_power.csv
clk1845_r1_20260423_150743,1845,1845,1845.0000,1845.0000,46.4828,32.2414,31.8966,278.7241,4.5387,1.1649,21.3145,24.8286,data\raw\memory\logs\27_index_select\clk1845_r1_20260423_150743_power.csv
clk1845_r2_20260423_150749,1845,1845,1845.0000,1845.0000,45.4382,20.6292,20.5281,172.6966,2.8122,1.1633,16.4665,19.1554,data\raw\memory\logs\27_index_select\clk1845_r2_20260423_150749_power.csv
clk1785_r1_20260423_150801,1785,1785,1785.0000,1785.0000,45.2586,40.2414,40.4483,259.9138,4.2324,1.1712,18.7950,22.0132,data\raw\memory\logs\27_index_select\clk1785_r1_20260423_150801_power.csv
clk1785_r2_20260423_150807,1785,1785,1785.0000,1785.0000,45.7544,45.2632,45.3684,264.6842,4.3101,1.1722,21.9386,25.7173,data\raw\memory\logs\27_index_select\clk1785_r2_20260423_150807_power.csv
clk1725_r1_20260423_150816,1725,1725,1725.0000,1725.0000,44.9259,35.1667,34.1667,283.2037,4.6117,1.1853,18.9917,22.5114,data\raw\memory\logs\27_index_select\clk1725_r1_20260423_150816_power.csv
clk1725_r2_20260423_150822,1725,1725,1725.0000,1725.0000,45.2500,32.1429,32.1429,267.0000,4.3478,1.1869,21.3513,25.3428,data\raw\memory\logs\27_index_select\clk1725_r2_20260423_150822_power.csv
clk1665_r1_20260423_150830,1665,1665,1665.0000,1665.0000,44.5091,32.7273,32.7273,283.9636,4.6241,1.1975,18.7902,22.5017,data\raw\memory\logs\27_index_select\clk1665_r1_20260423_150830_power.csv
clk1665_r2_20260423_150836,1665,1665,1665.0000,1665.0000,45.0185,33.3333,33.3333,289.2222,4.7097,1.1984,21.4146,25.6639,data\raw\memory\logs\27_index_select\clk1665_r2_20260423_150836_power.csv
clk1605_r1_20260423_150844,1605,1605,1605.0000,1605.0000,44.5577,34.6154,33.9231,293.0192,4.7715,1.2157,20.1596,24.5074,data\raw\memory\logs\27_index_select\clk1605_r1_20260423_150844_power.csv
clk1605_r2_20260423_150850,1605,1605,1605.0000,1605.0000,44.5690,43.1034,42.5172,261.5862,4.2597,1.2104,20.5747,24.9041,data\raw\memory\logs\27_index_select\clk1605_r2_20260423_150850_power.csv
clk1545_r1_20260423_150859,1545,1545,1545.0000,1545.0000,44.0185,48.1481,47.0741,288.0370,4.6904,1.2332,18.5267,22.8472,data\raw\memory\logs\27_index_select\clk1545_r1_20260423_150859_power.csv
clk1545_r2_20260423_150905,1545,1545,1545.0000,1545.0000,44.4000,50.4182,49.2182,277.0545,4.5116,1.2307,19.7156,24.2635,data\raw\memory\logs\27_index_select\clk1545_r2_20260423_150905_power.csv
clk1485_r1_20260423_150913,1485,1485,1485.0000,1485.0000,43.7037,51.8519,49.5926,296.6667,4.8309,1.2493,18.0333,22.5282,data\raw\memory\logs\27_index_select\clk1485_r1_20260423_150913_power.csv
clk1485_r2_20260423_150919,1485,1485,1485.0000,1485.0000,43.7222,50.0000,47.8333,282.2963,4.5969,1.2511,19.8874,24.8818,data\raw\memory\logs\27_index_select\clk1485_r2_20260423_150919_power.csv
clk1425_r1_20260423_150927,1425,1425,1425.0000,1425.0000,43.3509,36.8070,31.6316,290.6842,4.7335,1.2823,17.7791,22.7980,data\raw\memory\logs\27_index_select\clk1425_r1_20260423_150927_power.csv
clk1425_r2_20260423_150933,1425,1425,1425.0000,1425.0000,43.6852,36.3333,31.0000,296.8333,4.8336,1.2756,19.8937,25.3770,data\raw\memory\logs\27_index_select\clk1425_r2_20260423_150933_power.csv
clk1365_r1_20260423_150941,1365,1365,1365.0000,1365.0000,43.0714,36.7143,33.4464,295.7857,4.8166,1.3143,17.2439,22.6642,data\raw\memory\logs\27_index_select\clk1365_r1_20260423_150941_power.csv
clk1365_r2_20260423_150947,1365,1365,1365.0000,1365.0000,43.0179,47.3571,43.1071,298.2857,4.8573,1.3164,18.6095,24.4966,data\raw\memory\logs\27_index_select\clk1365_r2_20260423_150947_power.csv
clk1305_r1_20260423_150956,1305,1305,1305.0000,1305.0000,42.9273,50.9091,45.1273,301.3091,4.9065,1.3605,17.6027,23.9491,data\raw\memory\logs\27_index_select\clk1305_r1_20260423_150956_power.csv
clk1305_r2_20260423_151002,1305,1305,1305.0000,1305.0000,42.9322,37.0169,32.6441,290.0847,4.7237,1.3583,17.7549,24.1165,data\raw\memory\logs\27_index_select\clk1305_r2_20260423_151002_power.csv
clk1245_r1_20260423_151011,1245,1245,1245.0000,1245.0000,42.3750,47.8929,40.6607,307.9821,5.0152,1.4060,16.6736,23.4431,data\raw\memory\logs\27_index_select\clk1245_r1_20260423_151011_power.csv
clk1245_r2_20260423_151017,1245,1245,1245.0000,1245.0000,42.3898,34.6271,26.6949,292.4576,4.7624,1.4062,17.7814,25.0048,data\raw\memory\logs\27_index_select\clk1245_r2_20260423_151017_power.csv
clk1185_r1_20260423_151025,1185,1185,1185.0000,1185.0000,42.1034,46.5517,38.1724,304.4310,4.9574,1.4619,16.1364,23.5902,data\raw\memory\logs\27_index_select\clk1185_r1_20260423_151025_power.csv
clk1185_r2_20260423_151032,1185,1185,1185.0000,1185.0000,42.3167,41.6667,34.0167,294.4333,4.7946,1.4629,17.1513,25.0901,data\raw\memory\logs\27_index_select\clk1185_r2_20260423_151032_power.csv
clk1065_r1_20260423_151041,1065,1065,1065.0000,1065.0000,41.9836,54.0984,40.6230,316.3770,5.1519,1.6033,16.0762,25.7743,data\raw\memory\logs\27_index_select\clk1065_r1_20260423_151041_power.csv
clk1065_r2_20260423_151047,1065,1065,1065.0000,1065.0000,41.9016,47.5410,35.9180,311.8689,5.0785,1.6020,17.3784,27.8396,data\raw\memory\logs\27_index_select\clk1065_r2_20260423_151047_power.csv
clk1005_r1_20260423_151056,1005,1005,1005.0000,1005.0000,41.7077,53.8462,38.2462,307.1231,5.0012,1.6921,16.3942,27.7411,data\raw\memory\logs\27_index_select\clk1005_r1_20260423_151056_power.csv
clk1005_r2_20260423_151104,1005,1005,1005.0000,1005.0000,41.8438,57.8125,41.8906,311.9062,5.0791,1.6926,17.0688,28.8901,data\raw\memory\logs\27_index_select\clk1005_r2_20260423_151104_power.csv
clk945_r1_20260423_151113,945,945,945.0000,945.0000,41.4242,52.1212,35.0303,318.9242,5.1934,1.8014,16.0389,28.8918,data\raw\memory\logs\27_index_select\clk945_r1_20260423_151113_power.csv
clk945_r2_20260423_151120,945,945,945.0000,945.0000,41.7500,45.4219,27.9844,329.0312,5.3579,1.8028,17.6630,31.8425,data\raw\memory\logs\27_index_select\clk945_r2_20260423_151120_power.csv
clk885_r1_20260423_151129,885,885,885.0000,885.0000,41.4848,48.4697,27.6818,351.8182,5.7290,1.9243,17.1286,32.9601,data\raw\memory\logs\27_index_select\clk885_r1_20260423_151129_power.csv
clk885_r2_20260423_151137,885,885,885.0000,885.0000,41.6901,41.3662,24.0141,311.7606,5.0767,1.9237,16.6445,32.0193,data\raw\memory\logs\27_index_select\clk885_r2_20260423_151137_power.csv
clk825_r1_20260423_151147,825,825,825.0000,825.0000,41.2394,50.8732,29.4930,340.3521,5.5423,2.0677,16.5404,34.2008,data\raw\memory\logs\27_index_select\clk825_r1_20260423_151147_power.csv
clk825_r2_20260423_151154,825,825,825.0000,825.0000,41.2532,46.9114,27.2025,303.7468,4.9462,2.0654,16.3423,33.7536,data\raw\memory\logs\27_index_select\clk825_r2_20260423_151154_power.csv
clk765_r1_20260423_151205,765,765,765.0000,765.0000,41.1184,47.3684,25.1053,355.5395,5.7896,2.2379,16.6368,37.2316,data\raw\memory\logs\27_index_select\clk765_r1_20260423_151205_power.csv
clk765_r2_20260423_151214,765,765,765.0000,765.0000,40.7712,39.4322,20.2119,233.7458,3.8063,2.2360,13.2598,29.6491,data\raw\memory\logs\27_index_select\clk765_r2_20260423_151214_power.csv
