run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_151456,3105,3105,2511.0448,2520.0000,52.6418,39.7015,37.6119,346.7463,5.6464,1.6485,30.1667,49.7300,data\raw\memory\logs\29_cat_copy\clk3105_r1_20260423_151456_power.csv
clk3105_r2_20260423_151504,3105,3105,2505.0000,2505.0000,53.8939,41.8788,42.4242,354.7273,5.7764,1.6481,33.3836,55.0201,data\raw\memory\logs\29_cat_copy\clk3105_r2_20260423_151504_power.csv
clk3045_r1_20260423_151513,3045,3045,2505.0000,2505.0000,54.1429,44.4444,44.4444,373.2381,6.0778,1.6480,29.8171,49.1396,data\raw\memory\logs\29_cat_copy\clk3045_r1_20260423_151513_power.csv
clk3045_r2_20260423_151520,3045,3045,2505.0000,2505.0000,55.2985,47.7612,47.7612,346.8806,5.6486,1.6540,33.0018,54.5850,data\raw\memory\logs\29_cat_copy\clk3045_r2_20260423_151520_power.csv
clk2985_r1_20260423_151530,2985,2985,2505.0000,2505.0000,55.8197,50.8197,50.8197,369.6393,6.0192,1.6484,31.2341,51.4853,data\raw\memory\logs\29_cat_copy\clk2985_r1_20260423_151530_power.csv
clk2985_r2_20260423_151536,2985,2985,2505.0000,2505.0000,56.9836,54.0984,54.0984,383.6557,6.2474,1.6481,36.1574,59.5896,data\raw\memory\logs\29_cat_copy\clk2985_r2_20260423_151536_power.csv
clk2925_r1_20260423_151545,2925,2925,2505.0000,2505.0000,56.6406,42.1875,42.1875,362.9844,5.9108,1.6465,32.1056,52.8617,data\raw\memory\logs\29_cat_copy\clk2925_r1_20260423_151545_power.csv
clk2925_r2_20260423_151552,2925,2925,2505.0000,2505.0000,57.3538,49.2308,49.2308,347.0923,5.6520,1.6466,33.9595,55.9170,data\raw\memory\logs\29_cat_copy\clk2925_r2_20260423_151552_power.csv
clk2865_r1_20260423_151601,2865,2865,2505.0000,2505.0000,56.9833,48.5667,48.8667,375.8167,6.1198,1.6474,30.3300,49.9650,data\raw\memory\logs\29_cat_copy\clk2865_r1_20260423_151601_power.csv
clk2865_r2_20260423_151608,2865,2865,2505.0000,2505.0000,57.7188,53.7812,54.6250,365.7969,5.9566,1.6478,35.1506,57.9209,data\raw\memory\logs\29_cat_copy\clk2865_r2_20260423_151608_power.csv
clk2805_r1_20260423_151617,2805,2805,2505.0000,2505.0000,57.7377,48.8197,49.1803,380.8361,6.2015,1.6464,31.5384,51.9246,data\raw\memory\logs\29_cat_copy\clk2805_r1_20260423_151617_power.csv
clk2805_r2_20260423_151624,2805,2805,2505.0000,2505.0000,58.4154,57.4462,58.4615,358.5077,5.8379,1.6469,34.7100,57.1630,data\raw\memory\logs\29_cat_copy\clk2805_r2_20260423_151624_power.csv
