run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260423_152831,3105,3105,2505.0000,2505.0000,60.7692,66.6667,66.6667,730.5000,11.8955,2.6290,42.3042,111.2162,data\raw\memory\logs\30_roll\clk3105_r1_20260423_152831_power.csv
clk3105_r2_20260423_152840,3105,3105,2505.0000,2505.0000,61.9259,66.6667,66.6667,703.4444,11.4549,2.6298,43.9772,115.6501,data\raw\memory\logs\30_roll\clk3105_r2_20260423_152840_power.csv
clk3045_r1_20260423_152851,3045,3045,2505.0000,2505.0000,61.9481,59.7403,59.7403,728.8831,11.8691,2.6270,43.1496,113.3555,data\raw\memory\logs\30_roll\clk3045_r1_20260423_152851_power.csv
clk3045_r2_20260423_152859,3045,3045,2505.0000,2505.0000,62.8354,60.6203,58.4557,726.3797,11.8284,2.6268,46.5114,122.1763,data\raw\memory\logs\30_roll\clk3045_r2_20260423_152859_power.csv
clk2985_r1_20260423_152910,2985,2985,2505.0000,2505.0000,62.5181,54.2169,54.2169,686.4940,11.1789,2.6272,42.1848,110.8295,data\raw\memory\logs\30_roll\clk2985_r1_20260423_152910_power.csv
clk2985_r2_20260423_152919,2985,2985,2501.7073,2505.0000,63.6951,54.8780,54.8780,712.5610,11.6033,2.6290,44.9449,118.1601,data\raw\memory\logs\30_roll\clk2985_r2_20260423_152919_power.csv
clk2925_r1_20260423_152931,2925,2925,2498.1646,2505.0000,63.1139,56.9620,56.9620,711.4810,11.5858,2.6274,42.7859,112.4170,data\raw\memory\logs\30_roll\clk2925_r1_20260423_152931_power.csv
clk2925_r2_20260423_152940,2925,2925,2496.5625,2505.0000,64.3375,56.2500,56.2500,717.1375,11.6779,2.6276,45.3032,119.0389,data\raw\memory\logs\30_roll\clk2925_r2_20260423_152940_power.csv
clk2865_r1_20260423_152951,2865,2865,2496.5625,2505.0000,64.1250,55.9125,56.2500,730.6625,11.8981,2.6275,43.2897,113.7438,data\raw\memory\logs\30_roll\clk2865_r1_20260423_152951_power.csv
clk2865_r2_20260423_153000,2865,2865,2495.8537,2505.0000,64.4878,56.0976,56.0976,695.0122,11.3176,2.6267,44.2787,116.3071,data\raw\memory\logs\30_roll\clk2865_r2_20260423_153000_power.csv
clk2805_r1_20260423_153011,2805,2805,2495.7692,2505.0000,64.6795,58.5128,58.9744,730.5000,11.8955,2.6277,44.1227,115.9407,data\raw\memory\logs\30_roll\clk2805_r1_20260423_153011_power.csv
clk2805_r2_20260423_153019,2805,2805,2496.0000,2505.0000,65.2500,57.3875,57.5000,712.2375,11.5981,2.6286,44.5976,117.2275,data\raw\memory\logs\30_roll\clk2805_r2_20260423_153019_power.csv
clk2745_r1_20260423_153030,2745,2745,2496.3750,2505.0000,64.9000,57.5000,57.5000,712.2500,11.5983,2.6291,42.9575,112.9413,data\raw\memory\logs\30_roll\clk2745_r1_20260423_153030_power.csv
clk2745_r2_20260423_153039,2745,2745,2495.7407,2505.0000,65.4938,58.5679,57.1235,710.0494,11.5624,2.6280,46.0301,120.9651,data\raw\memory\logs\30_roll\clk2745_r2_20260423_153039_power.csv
clk2685_r1_20260423_153050,2685,2685,2495.5063,2505.0000,64.9114,65.7342,65.9620,718.0633,11.6929,2.6279,43.5129,114.3470,data\raw\memory\logs\30_roll\clk2685_r1_20260423_153050_power.csv
clk2685_r2_20260423_153059,2685,2685,2495.9259,2505.0000,65.6173,66.6667,66.6667,707.5185,11.5212,2.6273,45.4773,119.4812,data\raw\memory\logs\30_roll\clk2685_r2_20260423_153059_power.csv
clk2625_r1_20260423_153110,2625,2625,2495.8125,2505.0000,64.9875,63.4375,63.5500,701.5625,11.4242,2.6272,42.7030,112.1884,data\raw\memory\logs\30_roll\clk2625_r1_20260423_153110_power.csv
clk2625_r2_20260423_153119,2625,2625,2495.0625,2505.0000,65.9375,66.2500,66.2500,704.1125,11.4658,2.6269,45.8301,120.3898,data\raw\memory\logs\30_roll\clk2625_r2_20260423_153119_power.csv
clk2565_r1_20260423_153130,2565,2565,2496.6667,2505.0000,65.3457,65.4321,65.4321,698.7778,11.3789,2.6271,43.6154,114.5829,data\raw\memory\logs\30_roll\clk2565_r1_20260423_153130_power.csv
clk2565_r2_20260423_153139,2565,2565,2496.6667,2505.0000,65.7901,66.6667,66.6667,695.5309,11.3260,2.6270,45.0517,118.3509,data\raw\memory\logs\30_roll\clk2565_r2_20260423_153139_power.csv
clk2505_r1_20260423_153150,2505,2505,2496.5625,2505.0000,65.6750,65.0000,65.0000,704.1125,11.4658,2.6271,43.6537,114.6815,data\raw\memory\logs\30_roll\clk2505_r1_20260423_153150_power.csv
clk2505_r2_20260423_153159,2505,2505,2496.1446,2505.0000,65.7590,61.9398,60.4217,686.4940,11.1789,2.6265,44.6453,117.2618,data\raw\memory\logs\30_roll\clk2505_r2_20260423_153159_power.csv
clk2445_r1_20260423_153210,2445,2445,2445.0000,2445.0000,65.2278,67.0886,67.0886,713.0633,11.6115,2.6289,42.3851,111.4281,data\raw\memory\logs\30_roll\clk2445_r1_20260423_153210_power.csv
clk2445_r2_20260423_153219,2445,2445,2445.0000,2445.0000,65.7561,66.8537,67.0732,707.7317,11.5247,2.6298,44.4139,116.7982,data\raw\memory\logs\30_roll\clk2445_r2_20260423_153219_power.csv
clk2385_r1_20260423_153230,2385,2385,2385.0000,2385.0000,62.6239,43.3486,41.5321,531.9633,8.6625,2.6323,32.7878,86.3080,data\raw\memory\logs\30_roll\clk2385_r1_20260423_153230_power.csv
clk2385_r2_20260423_153242,2385,2385,2385.0000,2385.0000,64.4500,58.7250,57.8250,712.3875,11.6005,2.6316,41.5987,109.4713,data\raw\memory\logs\30_roll\clk2385_r2_20260423_153242_power.csv
clk2325_r1_20260423_153253,2325,2325,2325.0000,2325.0000,63.0854,56.0854,54.9878,695.0122,11.3176,2.6341,37.3534,98.3919,data\raw\memory\logs\30_roll\clk2325_r1_20260423_153253_power.csv
clk2325_r2_20260423_153302,2325,2325,2325.0000,2325.0000,63.5714,53.5714,53.5714,683.1429,11.1243,2.6352,38.5529,101.5927,data\raw\memory\logs\30_roll\clk2325_r2_20260423_153302_power.csv
clk2265_r1_20260423_153314,2265,2265,2265.0000,2265.0000,62.6875,57.5000,57.5000,712.2500,11.5983,2.6388,36.0506,95.1306,data\raw\memory\logs\30_roll\clk2265_r1_20260423_153314_power.csv
clk2265_r2_20260423_153323,2265,2265,2265.0000,2265.0000,63.0375,55.9125,56.2500,722.1750,11.7599,2.6381,38.2872,101.0061,data\raw\memory\logs\30_roll\clk2265_r2_20260423_153323_power.csv
clk2205_r1_20260423_153334,2205,2205,2205.0000,2205.0000,62.4810,56.9620,56.9620,726.2658,11.8265,2.6420,36.1049,95.3903,data\raw\memory\logs\30_roll\clk2205_r1_20260423_153334_power.csv
clk2205_r2_20260423_153342,2205,2205,2205.0000,2205.0000,62.6203,64.9367,64.5949,721.4051,11.7474,2.6437,38.0142,100.4965,data\raw\memory\logs\30_roll\clk2205_r2_20260423_153342_power.csv
clk2145_r1_20260423_153353,2145,2145,2145.0000,2145.0000,61.4810,67.0886,67.0886,722.3038,11.7620,2.6465,33.9480,89.8443,data\raw\memory\logs\30_roll\clk2145_r1_20260423_153353_power.csv
clk2145_r2_20260423_153402,2145,2145,2145.0000,2145.0000,61.8442,59.2857,59.6753,718.0519,11.6928,2.6465,36.3953,96.3199,data\raw\memory\logs\30_roll\clk2145_r2_20260423_153402_power.csv
