timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 15:09:57.317, 48.61, 2520, 2520, 8001, 48, 63, 74, 0, 6141, P0, 4, 8
2026/04/23 15:09:57.426, 33.31, 2520, 2520, 8001, 46, 63, 74, 0, 6141, P3, 4, 8
2026/04/23 15:09:57.535, 33.31, 2520, 2520, 8001, 46, 63, 74, 0, 6141, P3, 4, 8
2026/04/23 15:09:57.645, 33.31, 2520, 2520, 8001, 46, 63, 74, 0, 6141, P3, 4, 8
2026/04/23 15:09:57.756, 33.31, 2520, 2520, 8001, 46, 63, 74, 0, 6141, P3, 4, 8
2026/04/23 15:09:57.866, 33.31, 2520, 2520, 8001, 46, 63, 74, 0, 6141, P3, 4, 8
2026/04/23 15:09:57.976, 18.35, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.087, 18.35, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.198, 18.35, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.308, 18.35, 2520, 2520, 7001, 46, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.417, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.527, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.638, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.749, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.858, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:58.968, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:59.078, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:59.188, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:59.298, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:59.410, 18.04, 2520, 2520, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:09:59.520, 12.23, 525, 525, 7001, 44, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:09:59.630, 12.23, 525, 525, 7001, 44, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:09:59.740, 12.23, 525, 525, 7001, 44, 0, 0, 8, 6141, P5, 2, 8
2026/04/23 15:09:59.850, 12.23, 525, 525, 7001, 44, 0, 0, 413, 6141, P5, 2, 8
2026/04/23 15:09:59.961, 10.50, 2130, 2130, 7001, 44, 67, 67, 733, 6141, P3, 4, 8
2026/04/23 15:10:00.070, 10.50, 2130, 2130, 7001, 44, 67, 67, 733, 6141, P3, 4, 8
2026/04/23 15:10:00.180, 10.50, 2130, 2130, 7001, 44, 67, 67, 733, 6141, P3, 4, 8
2026/04/23 15:10:00.290, 10.50, 2130, 2130, 7001, 44, 67, 67, 733, 6141, P3, 4, 8
2026/04/23 15:10:00.400, 10.50, 2130, 2130, 7001, 44, 67, 67, 733, 6141, P3, 4, 8
2026/04/23 15:10:00.511, 22.52, 2520, 2520, 8001, 49, 67, 67, 733, 6141, P0, 4, 8
2026/04/23 15:10:00.621, 22.52, 2520, 2520, 8001, 49, 67, 67, 733, 6141, P0, 4, 8
2026/04/23 15:10:00.733, 22.52, 2520, 2520, 8001, 49, 67, 67, 733, 6141, P0, 4, 8
2026/04/23 15:10:00.842, 22.52, 2520, 2520, 8001, 49, 67, 67, 733, 6141, P0, 4, 8
2026/04/23 15:10:00.950, 46.29, 2520, 2520, 8001, 50, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.062, 46.29, 2520, 2520, 8001, 50, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.173, 46.29, 2520, 2520, 8001, 50, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.284, 46.29, 2520, 2520, 8001, 50, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.394, 46.29, 2520, 2520, 8001, 50, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.502, 52.51, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.612, 52.51, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.723, 52.51, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.833, 52.51, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:01.943, 52.61, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.053, 52.61, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.163, 52.61, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.271, 52.61, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.381, 52.61, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.492, 52.69, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.603, 52.69, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.711, 52.69, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.821, 52.69, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:02.929, 52.54, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.038, 52.54, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.149, 52.54, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.256, 52.54, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.367, 52.54, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.478, 52.55, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.589, 52.55, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:10:03.699, 52.55, 2520, 2520, 8001, 51, 100, 100, 733, 6141, P0, 4, 8
