timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 15:46:13.584, 43.64, 2520, 2520, 8001, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/23 15:46:13.694, 43.64, 2520, 2520, 8001, 44, 0, 0, 0, 6141, P0, 4, 8
2026/04/23 15:46:13.804, 29.75, 2520, 2520, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:13.913, 29.75, 2520, 2520, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.024, 29.75, 2520, 2520, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.134, 29.75, 2520, 2520, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.244, 29.75, 2520, 2520, 8001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.355, 18.07, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.465, 18.07, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.575, 18.07, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.687, 18.07, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.796, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:14.906, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:15.016, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:15.125, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:15.234, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 15:46:15.344, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.452, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.562, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.672, 17.76, 2520, 2520, 7001, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.781, 12.86, 435, 435, 5871, 41, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.888, 12.86, 435, 435, 5871, 41, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:15.999, 12.86, 435, 435, 5871, 41, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:16.107, 12.86, 435, 435, 5871, 41, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:16.217, 12.86, 435, 435, 5871, 41, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:46:16.327, 9.96, 300, 300, 5871, 41, 0, 0, 21, 6141, P4, 3, 8
2026/04/23 15:46:16.437, 9.96, 300, 300, 5871, 41, 0, 0, 733, 6141, P4, 3, 8
2026/04/23 15:46:16.546, 9.96, 300, 300, 5871, 41, 0, 0, 733, 6141, P4, 3, 8
2026/04/23 15:46:16.656, 9.96, 300, 300, 5871, 41, 0, 0, 733, 6141, P4, 3, 8
2026/04/23 15:46:16.766, 15.77, 2520, 2520, 8001, 46, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 15:46:16.875, 15.77, 2520, 2520, 8001, 46, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 15:46:16.985, 15.77, 2520, 2520, 8001, 46, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 15:46:17.095, 15.77, 2520, 2520, 8001, 46, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 15:46:17.203, 15.77, 2520, 2520, 8001, 46, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 15:46:17.311, 24.98, 2520, 2520, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 15:46:17.419, 24.98, 2520, 2520, 8001, 47, 100, 100, 733, 6141, P0, 4, 8
