timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 18:10:52.554, 41.90, 2520, 2520, 8001, 42, 100, 100, 0, 6141, P0, 4, 8
2026/04/23 18:10:52.663, 24.68, 2520, 2520, 8001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:52.773, 24.68, 2520, 2520, 8001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:52.885, 24.68, 2520, 2520, 8001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:52.996, 24.68, 2520, 2520, 8001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.106, 24.68, 2520, 2520, 8001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.214, 17.57, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.325, 17.57, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.433, 17.57, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.545, 17.57, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.655, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.766, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.875, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:53.982, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:54.091, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 18:10:54.201, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 18:10:54.310, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 18:10:54.419, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 18:10:54.528, 17.28, 2520, 2520, 7001, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 18:10:54.638, 11.03, 390, 390, 5871, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 18:10:54.749, 11.03, 390, 390, 5871, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 18:10:54.859, 11.03, 390, 390, 5871, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 18:10:54.970, 11.03, 390, 390, 5871, 40, 0, 0, 0, 6141, P5, 2, 8
