timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:05:34.908, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:05:35.019, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:05:35.130, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:05:35.237, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P8, 2, 8
2026/04/23 20:05:35.349, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P8, 2, 8
2026/04/23 20:05:35.458, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P8, 2, 8
2026/04/23 20:05:35.567, 7.74, 210, 210, 780, 41, 0, 0, 0, 6141, P8, 2, 8
2026/04/23 20:05:35.677, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:35.788, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:35.897, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.008, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.119, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.230, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.340, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.451, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.562, 2.86, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.673, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.783, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:36.893, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.005, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.115, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.228, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.336, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.447, 2.49, 210, 210, 375, 40, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:05:37.555, 2.49, 210, 210, 375, 40, 0, 0, 405, 6141, P8, 1, 8
2026/04/23 20:05:37.665, 4.33, 2130, 2130, 7001, 40, 54, 57, 419, 6141, P3, 4, 8
2026/04/23 20:05:37.775, 4.33, 2130, 2130, 7001, 40, 54, 57, 419, 6141, P3, 4, 8
2026/04/23 20:05:37.887, 4.33, 2130, 2130, 7001, 40, 54, 57, 419, 6141, P3, 4, 8
2026/04/23 20:05:37.998, 4.33, 2130, 2130, 7001, 40, 54, 57, 419, 6141, P3, 4, 8
