timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:17:01.752, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:01.859, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:01.968, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:02.079, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:02.187, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:02.295, 7.74, 285, 285, 5871, 39, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:17:02.405, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:02.513, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:02.621, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:02.730, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:02.838, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:02.947, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.055, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.164, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.273, 6.32, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.381, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.489, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.598, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.707, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:17:03.814, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:03.922, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.032, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.140, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.251, 5.50, 210, 210, 780, 39, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.362, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.467, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.576, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.684, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.793, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:04.903, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:05.012, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:05.122, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:05.232, 3.60, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:05.342, 2.34, 210, 210, 375, 38, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:17:05.451, 2.34, 210, 210, 375, 38, 0, 0, 9, 6141, P8, 1, 8
2026/04/23 20:17:05.575, 2.34, 210, 210, 375, 38, 0, 0, 81, 6141, P8, 1, 8
2026/04/23 20:17:05.685, 2.34, 210, 210, 375, 38, 0, 0, 405, 6141, P8, 1, 8
2026/04/23 20:17:05.794, 2.34, 210, 210, 375, 38, 0, 0, 419, 6141, P8, 1, 8
2026/04/23 20:17:05.902, 5.82, 2130, 2130, 7001, 40, 96, 100, 419, 6141, P3, 4, 8
2026/04/23 20:17:06.012, 5.82, 2130, 2130, 7001, 40, 96, 100, 419, 6141, P3, 4, 8
2026/04/23 20:17:06.121, 5.82, 2130, 2130, 7001, 40, 96, 100, 419, 6141, P3, 4, 8
2026/04/23 20:17:06.229, 5.82, 2130, 2130, 7001, 40, 96, 100, 419, 6141, P3, 4, 8
2026/04/23 20:17:06.339, 27.84, 2520, 2520, 8001, 45, 96, 100, 419, 6141, P0, 4, 8
2026/04/23 20:17:06.450, 27.84, 2520, 2520, 8001, 45, 96, 100, 419, 6141, P0, 4, 8
2026/04/23 20:17:06.560, 27.84, 2520, 2520, 8001, 45, 96, 100, 419, 6141, P0, 4, 8
2026/04/23 20:17:06.669, 27.84, 2520, 2520, 8001, 45, 96, 100, 419, 6141, P0, 4, 8
