timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:44:39.658, 48.75, 2520, 2520, 8001, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/23 20:44:39.768, 48.75, 2520, 2520, 8001, 51, 0, 0, 0, 6141, P0, 4, 8
2026/04/23 20:44:39.878, 32.74, 2520, 2520, 8001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:39.987, 32.74, 2520, 2520, 8001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.097, 32.74, 2520, 2520, 8001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.208, 32.74, 2520, 2520, 8001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.318, 18.52, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.426, 18.52, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.535, 18.52, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.644, 18.52, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.755, 18.52, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.862, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:40.973, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.084, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.193, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.302, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.411, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.521, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.629, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.739, 18.22, 2520, 2520, 7001, 49, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:44:41.850, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:44:41.960, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:44:42.070, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:44:42.180, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:44:42.290, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.400, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.511, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.621, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.732, 13.29, 435, 435, 7001, 47, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.840, 8.26, 270, 270, 375, 46, 0, 0, 0, 6141, P8, 1, 8
2026/04/23 20:44:42.950, 8.26, 270, 270, 375, 46, 0, 0, 9, 6141, P8, 1, 8
2026/04/23 20:44:43.060, 8.26, 270, 270, 375, 46, 0, 0, 181, 6141, P8, 1, 8
2026/04/23 20:44:43.170, 8.26, 270, 270, 375, 46, 0, 0, 683, 6141, P8, 1, 8
2026/04/23 20:44:43.280, 8.26, 270, 270, 375, 46, 0, 0, 683, 6141, P8, 1, 8
2026/04/23 20:44:43.391, 6.81, 2130, 2130, 7001, 50, 100, 100, 683, 6141, P3, 4, 8
2026/04/23 20:44:43.502, 6.81, 2130, 2130, 7001, 50, 100, 100, 683, 6141, P3, 4, 8
2026/04/23 20:44:43.613, 6.81, 2130, 2130, 7001, 50, 100, 100, 683, 6141, P3, 4, 8
2026/04/23 20:44:43.724, 6.81, 2130, 2130, 7001, 50, 100, 100, 683, 6141, P3, 4, 8
2026/04/23 20:44:43.834, 25.49, 2520, 2520, 8001, 54, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:44:43.944, 25.49, 2520, 2520, 8001, 54, 100, 100, 683, 6141, P0, 4, 8
