timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:58:11.639, 37.00, 2505, 2505, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:11.747, 37.00, 2505, 2505, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:11.857, 37.00, 2505, 2505, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:11.966, 37.00, 2505, 2505, 7001, 56, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.076, 19.25, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.186, 19.25, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.296, 19.25, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.406, 19.25, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.515, 19.25, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.626, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.736, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.846, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:12.957, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.067, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.177, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.289, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.400, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.511, 18.58, 2505, 2505, 7001, 55, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:13.622, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:13.731, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:13.842, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:13.951, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:14.061, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:14.171, 11.65, 390, 390, 5871, 53, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:58:14.281, 11.65, 390, 390, 5871, 53, 0, 0, 81, 6141, P4, 3, 8
2026/04/23 20:58:14.391, 11.65, 390, 390, 5871, 53, 0, 0, 1055, 6141, P4, 3, 8
2026/04/23 20:58:14.500, 11.65, 390, 390, 5871, 53, 0, 0, 1055, 6141, P4, 3, 8
2026/04/23 20:58:14.608, 12.73, 2505, 2505, 7001, 58, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:14.718, 12.73, 2505, 2505, 7001, 58, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:14.828, 12.73, 2505, 2505, 7001, 58, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:14.935, 12.73, 2505, 2505, 7001, 58, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.045, 28.04, 2505, 2505, 8001, 62, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.155, 28.04, 2505, 2505, 8001, 62, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.266, 28.04, 2505, 2505, 8001, 62, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.377, 28.04, 2505, 2505, 8001, 62, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.489, 28.04, 2505, 2505, 8001, 62, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.598, 60.75, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.709, 60.75, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.819, 60.75, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:15.929, 60.75, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.038, 63.60, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.149, 63.60, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.261, 63.60, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.371, 63.60, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.488, 63.60, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.591, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.701, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.811, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:16.920, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.029, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.139, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.249, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.361, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.468, 63.69, 2505, 2505, 8001, 63, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.579, 63.73, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.689, 63.73, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.800, 63.73, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:17.912, 63.73, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.020, 63.78, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.129, 63.78, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.238, 63.78, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.346, 63.78, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.456, 63.78, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.566, 63.94, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.676, 63.94, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.791, 63.94, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:18.907, 63.94, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:19.020, 63.99, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:19.132, 63.99, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:19.238, 63.99, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:19.350, 63.99, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
