timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 15:00:21.434, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:21.543, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:21.653, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:21.762, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:21.873, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:21.984, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.093, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.204, 8.69, 1305, 1305, 5871, 43, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.314, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.425, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.534, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.644, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.754, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.865, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:22.975, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:23.086, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:23.196, 8.25, 1305, 1305, 5871, 42, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:00:23.307, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.417, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.528, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.639, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.749, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.858, 7.50, 1305, 1305, 780, 42, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:00:23.969, 7.50, 1305, 1305, 780, 42, 0, 0, 241, 6141, P5, 2, 8
2026/04/23 15:00:24.080, 7.50, 1305, 1305, 780, 42, 0, 0, 1053, 6141, P5, 2, 8
2026/04/23 15:00:24.190, 7.50, 1305, 1305, 780, 42, 0, 0, 1053, 6141, P5, 2, 8
2026/04/23 15:00:24.298, 7.50, 1305, 1305, 780, 42, 0, 0, 1053, 6141, P5, 2, 8
2026/04/23 15:00:24.406, 9.84, 1305, 1305, 7001, 44, 0, 0, 1053, 6141, P3, 4, 8
2026/04/23 15:00:24.516, 9.84, 1305, 1305, 7001, 44, 0, 0, 1053, 6141, P3, 4, 8
2026/04/23 15:00:24.626, 9.84, 1305, 1305, 7001, 44, 0, 0, 1053, 6141, P3, 4, 8
2026/04/23 15:00:24.736, 9.84, 1305, 1305, 7001, 44, 0, 0, 1053, 6141, P3, 4, 8
2026/04/23 15:00:24.844, 15.83, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:24.953, 15.83, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.063, 15.83, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.172, 15.83, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.280, 15.83, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.389, 29.93, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.499, 29.93, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.610, 29.93, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.718, 29.93, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.827, 30.75, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:25.936, 30.75, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.045, 30.75, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.155, 30.75, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.265, 30.75, 1305, 1305, 8001, 44, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.374, 30.76, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.483, 30.76, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.592, 30.76, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.701, 30.76, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.811, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:26.919, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.029, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.138, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.247, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.357, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.464, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.574, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.685, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.793, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:27.903, 30.78, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.012, 30.78, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.121, 30.78, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.232, 30.78, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.342, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.451, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.561, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.669, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.777, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.886, 30.80, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:28.995, 30.80, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.106, 30.80, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.214, 30.80, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.323, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.433, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.544, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.654, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.765, 30.79, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.876, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:29.986, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.096, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.205, 30.81, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.314, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.424, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.536, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.646, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.757, 30.82, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.868, 30.83, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:30.979, 30.83, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:31.089, 30.83, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
2026/04/23 15:00:31.197, 30.83, 1305, 1305, 8001, 45, 100, 100, 1053, 6141, P0, 4, 8
