timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 15:15:04.899, 14.31, 2205, 2205, 7001, 46, 0, 0, 0, 6141, P3, 3, 8
2026/04/23 15:15:05.007, 13.56, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.115, 13.56, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.225, 13.56, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.335, 13.56, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.444, 13.56, 2205, 2205, 7001, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.553, 13.56, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.664, 13.56, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.775, 13.56, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.886, 13.56, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 15:15:05.996, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.108, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.218, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.328, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.438, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.548, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.659, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.771, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.880, 12.78, 2205, 2205, 5871, 45, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:06.990, 8.30, 2205, 2205, 780, 44, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:07.102, 8.30, 2205, 2205, 780, 44, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:07.211, 8.30, 2205, 2205, 780, 44, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 15:15:07.323, 8.30, 2205, 2205, 780, 44, 0, 0, 0, 6141, P5, 2, 8
