timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 16:13:53.201, 28.41, 1065, 1065, 8001, 41, 91, 100, 0, 6141, P0, 4, 8
2026/04/23 16:13:53.311, 19.57, 1065, 1065, 8001, 40, 91, 100, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.422, 19.57, 1065, 1065, 8001, 40, 91, 100, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.533, 19.57, 1065, 1065, 8001, 40, 91, 100, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.642, 19.57, 1065, 1065, 8001, 40, 91, 100, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.752, 10.18, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.862, 10.18, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:53.973, 10.18, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.085, 10.18, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.196, 10.18, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.306, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.415, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.525, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.635, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.744, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.854, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:54.964, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:55.074, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:55.183, 8.19, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 16:13:55.291, 7.91, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 16:13:55.403, 7.91, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 16:13:55.514, 7.91, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 16:13:55.624, 7.91, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 16:13:55.734, 7.91, 1065, 1065, 7001, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 16:13:55.844, 7.91, 1065, 1065, 7001, 39, 0, 0, 241, 6141, P5, 2, 8
2026/04/23 16:13:55.953, 7.91, 1065, 1065, 7001, 39, 0, 0, 733, 6141, P5, 2, 8
2026/04/23 16:13:56.062, 7.91, 1065, 1065, 7001, 39, 0, 0, 733, 6141, P5, 2, 8
2026/04/23 16:13:56.172, 7.91, 1065, 1065, 7001, 39, 0, 0, 733, 6141, P5, 2, 8
2026/04/23 16:13:56.280, 10.70, 1065, 1065, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.389, 10.70, 1065, 1065, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.498, 10.70, 1065, 1065, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.608, 10.70, 1065, 1065, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.716, 10.70, 1065, 1065, 8001, 40, 0, 0, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.825, 15.94, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:56.934, 15.94, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.041, 15.94, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.150, 15.94, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.259, 28.32, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.368, 28.32, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.479, 28.32, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.588, 28.32, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.700, 28.32, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.809, 28.53, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:57.920, 28.53, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.031, 28.53, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.141, 28.53, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.251, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.361, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.470, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.579, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.689, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.799, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:58.910, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.021, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.132, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.243, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.354, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.464, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.576, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.685, 28.57, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.796, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:13:59.905, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.014, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.124, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.233, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.342, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.453, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.564, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.672, 28.55, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.781, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.890, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:00.998, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.106, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.216, 28.56, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.326, 28.59, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.435, 28.59, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.543, 28.59, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.652, 28.59, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.763, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.871, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:01.980, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.089, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.199, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.309, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.419, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.530, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.639, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.749, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.860, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:02.969, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.079, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.190, 28.58, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.300, 28.61, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.410, 28.61, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.520, 28.61, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.631, 28.61, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.740, 28.63, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.851, 28.63, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:03.962, 28.63, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:04.072, 28.63, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:04.182, 28.63, 1065, 1065, 8001, 41, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:04.292, 26.05, 1065, 1065, 8001, 40, 100, 100, 733, 6141, P0, 4, 8
2026/04/23 16:14:04.402, 26.05, 1065, 1065, 8001, 40, 100, 100, 0, 6141, P0, 4, 8
