timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 17:43:17.048, 26.85, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.156, 26.85, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.266, 26.85, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.375, 15.36, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.484, 15.36, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.594, 15.36, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.702, 15.36, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.811, 10.80, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:17.920, 10.80, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.028, 10.80, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.138, 10.80, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.248, 10.80, 1785, 1785, 7001, 45, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.358, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.466, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.577, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.685, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 17:43:18.795, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:18.904, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.012, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.121, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.229, 10.66, 1785, 1785, 7001, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.337, 10.28, 1785, 1785, 5871, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.447, 10.28, 1785, 1785, 5871, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.556, 10.28, 1785, 1785, 5871, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.664, 10.28, 1785, 1785, 5871, 44, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 17:43:19.772, 10.28, 1785, 1785, 5871, 44, 0, 0, 9, 6141, P4, 3, 8
2026/04/23 17:43:19.882, 9.83, 1785, 1785, 7001, 44, 1, 0, 693, 6141, P3, 4, 8
