timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:16:31.939, 20.21, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.050, 20.21, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.160, 20.21, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.270, 20.21, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.379, 10.79, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.487, 10.79, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.598, 10.79, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.706, 10.79, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.815, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:32.925, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.034, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.144, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.254, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.364, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.473, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.581, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.689, 7.93, 585, 585, 7001, 39, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:16:33.798, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:33.908, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.018, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.128, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.239, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.348, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.457, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.567, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.677, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.788, 7.77, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:34.898, 6.36, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:35.008, 6.36, 585, 585, 780, 39, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:16:35.118, 6.36, 585, 585, 780, 39, 0, 0, 9, 6141, P5, 2, 8
2026/04/23 20:16:35.228, 6.36, 585, 585, 780, 39, 0, 0, 419, 6141, P5, 2, 8
2026/04/23 20:16:35.339, 5.45, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:35.449, 5.45, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:35.559, 5.45, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:35.669, 5.45, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:35.781, 5.45, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:35.891, 10.82, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.000, 10.82, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.110, 10.82, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.220, 10.82, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.327, 26.32, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.437, 26.32, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.548, 26.32, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.659, 26.32, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.769, 26.32, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.879, 28.56, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:36.992, 28.56, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.097, 28.56, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.208, 28.56, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.318, 28.52, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.429, 28.52, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.539, 28.52, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.650, 28.52, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.761, 28.52, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.875, 28.53, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:37.995, 28.53, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.112, 28.53, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.218, 28.53, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.330, 28.61, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.439, 28.61, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.549, 28.61, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.658, 28.61, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.772, 28.61, 585, 585, 8001, 41, 100, 100, 419, 6141, P0, 4, 8
2026/04/23 20:16:38.878, 21.56, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:38.988, 21.56, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:39.097, 21.56, 585, 585, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:16:39.206, 21.56, 585, 585, 7001, 40, 0, 0, 161, 6141, P3, 4, 8
2026/04/23 20:16:39.317, 12.13, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 4, 8
