timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:24:41.535, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:41.642, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:41.754, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:41.863, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:41.971, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.081, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.190, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.299, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.409, 10.14, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.517, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.628, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.735, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.843, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:42.952, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.061, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.170, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.278, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.385, 8.17, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.493, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.604, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.714, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.824, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:43.934, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.043, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.153, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.260, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.370, 6.02, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.479, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.589, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.698, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.807, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:44.917, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.027, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.136, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.244, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.355, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.463, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.573, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.681, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.788, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:45.898, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:46.007, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:46.118, 6.03, 1905, 1905, 780, 40, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:24:46.227, 6.03, 1905, 1905, 780, 40, 0, 0, 9, 6141, P5, 2, 8
2026/04/23 20:24:46.336, 6.03, 1905, 1905, 780, 40, 0, 0, 337, 6141, P5, 2, 8
2026/04/23 20:24:46.445, 6.03, 1905, 1905, 780, 40, 0, 0, 419, 6141, P5, 2, 8
2026/04/23 20:24:46.554, 7.21, 1905, 1905, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:24:46.663, 7.21, 1905, 1905, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:24:46.772, 7.21, 1905, 1905, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:24:46.882, 7.21, 1905, 1905, 7001, 40, 0, 0, 419, 6141, P3, 4, 8
2026/04/23 20:24:46.992, 14.90, 1905, 1905, 8001, 43, 100, 100, 419, 6141, P0, 4, 8
