timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:43:33.613, 13.08, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 3, 8
2026/04/23 20:43:33.724, 13.08, 585, 585, 7001, 40, 0, 0, 0, 6141, P3, 3, 8
2026/04/23 20:43:33.834, 8.04, 585, 585, 7001, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:33.945, 8.04, 585, 585, 7001, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.056, 8.04, 585, 585, 7001, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.166, 8.04, 585, 585, 7001, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.276, 7.32, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.386, 7.32, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.497, 7.32, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.607, 7.32, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.717, 7.32, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.826, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:34.936, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.045, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.156, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.266, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.377, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.486, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.593, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.701, 7.26, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.811, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:35.921, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.031, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.140, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.252, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.362, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.472, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.582, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.692, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.800, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:36.912, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:37.018, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:37.130, 7.05, 585, 585, 5871, 40, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:43:37.240, 7.05, 585, 585, 5871, 40, 0, 0, 9, 6141, P4, 3, 8
2026/04/23 20:43:37.350, 7.24, 585, 585, 7001, 40, 2, 0, 273, 6141, P3, 4, 8
2026/04/23 20:43:37.461, 7.24, 585, 585, 7001, 40, 2, 0, 405, 6141, P3, 4, 8
2026/04/23 20:43:37.569, 7.24, 585, 585, 7001, 40, 2, 0, 543, 6141, P3, 4, 8
2026/04/23 20:43:37.681, 7.24, 585, 585, 7001, 40, 2, 0, 543, 6141, P3, 4, 8
2026/04/23 20:43:37.790, 13.34, 585, 585, 8001, 41, 2, 0, 543, 6141, P0, 4, 8
2026/04/23 20:43:37.900, 13.34, 585, 585, 8001, 41, 2, 0, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.011, 13.34, 585, 585, 8001, 41, 2, 0, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.122, 13.34, 585, 585, 8001, 41, 2, 0, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.234, 13.34, 585, 585, 8001, 41, 2, 0, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.346, 18.09, 585, 585, 8001, 41, 100, 41, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.455, 18.09, 585, 585, 8001, 41, 100, 41, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.564, 18.09, 585, 585, 8001, 41, 100, 41, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.675, 18.09, 585, 585, 8001, 41, 100, 41, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.784, 23.50, 585, 585, 8001, 42, 100, 41, 543, 6141, P0, 4, 8
2026/04/23 20:43:38.894, 23.50, 585, 585, 8001, 42, 100, 41, 543, 6141, P0, 4, 8
