timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:52:38.546, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:38.657, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:38.768, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:38.877, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:38.988, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.098, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.207, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.317, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.427, 9.77, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.538, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.648, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.758, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.868, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P4, 3, 8
2026/04/23 20:52:39.979, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.089, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.200, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.310, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.421, 9.37, 1605, 1605, 5871, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.531, 8.00, 1605, 1605, 780, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.642, 8.00, 1605, 1605, 780, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.751, 8.00, 1605, 1605, 780, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.863, 8.00, 1605, 1605, 780, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:40.973, 8.00, 1605, 1605, 780, 50, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:52:41.085, 8.00, 1605, 1605, 780, 50, 0, 0, 9, 6141, P5, 2, 8
2026/04/23 20:52:41.195, 8.00, 1605, 1605, 780, 50, 0, 0, 483, 6141, P5, 2, 8
2026/04/23 20:52:41.305, 8.00, 1605, 1605, 780, 50, 0, 0, 683, 6141, P5, 2, 8
2026/04/23 20:52:41.414, 8.00, 1605, 1605, 780, 50, 0, 0, 683, 6141, P5, 2, 8
2026/04/23 20:52:41.526, 10.08, 1605, 1605, 7001, 52, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:41.635, 10.08, 1605, 1605, 7001, 52, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:41.746, 10.08, 1605, 1605, 7001, 52, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:41.853, 10.08, 1605, 1605, 7001, 52, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:41.963, 17.59, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.075, 17.59, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.183, 17.59, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.293, 17.59, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.404, 17.59, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.514, 35.37, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.625, 35.37, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.735, 35.37, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.844, 35.37, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:42.954, 36.25, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.067, 36.25, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.177, 36.25, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.287, 36.25, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.398, 36.25, 1605, 1605, 8001, 53, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.508, 36.26, 1605, 1605, 8001, 54, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.619, 36.26, 1605, 1605, 8001, 54, 100, 100, 683, 6141, P0, 4, 8
2026/04/23 20:52:43.727, 36.26, 1605, 1605, 8001, 54, 100, 100, 683, 6141, P0, 4, 8
