timestamp, power.draw [W], clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pstate, pcie.link.gen.gpucurrent, pcie.link.width.current
2026/04/23 20:58:40.369, 45.65, 2505, 2505, 8001, 58, 100, 100, 0, 6141, P0, 4, 8
2026/04/23 20:58:40.480, 45.65, 2505, 2505, 8001, 58, 100, 100, 0, 6141, P0, 4, 8
2026/04/23 20:58:40.590, 25.17, 2505, 2505, 8001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:40.700, 25.17, 2505, 2505, 8001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:40.810, 25.17, 2505, 2505, 8001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:40.920, 25.17, 2505, 2505, 8001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.030, 19.13, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.140, 19.13, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.250, 19.13, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.361, 19.13, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.471, 19.13, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.581, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.691, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.802, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:41.911, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:42.021, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P3, 4, 8
2026/04/23 20:58:42.132, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.242, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.352, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.463, 18.81, 2505, 2505, 7001, 57, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.572, 17.21, 2505, 2505, 780, 56, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.683, 17.21, 2505, 2505, 780, 56, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.794, 17.21, 2505, 2505, 780, 56, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:42.905, 17.21, 2505, 2505, 780, 56, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:43.016, 17.21, 2505, 2505, 780, 56, 0, 0, 0, 6141, P5, 2, 8
2026/04/23 20:58:43.126, 17.21, 2505, 2505, 780, 56, 0, 0, 9, 6141, P5, 2, 8
2026/04/23 20:58:43.236, 17.21, 2505, 2505, 780, 56, 0, 0, 1055, 6141, P5, 2, 8
2026/04/23 20:58:43.346, 17.21, 2505, 2505, 780, 56, 0, 0, 1055, 6141, P5, 2, 8
2026/04/23 20:58:43.456, 17.21, 2505, 2505, 780, 56, 0, 0, 1055, 6141, P5, 2, 8
2026/04/23 20:58:43.565, 20.62, 2505, 2505, 7001, 62, 100, 100, 1055, 6141, P3, 4, 8
2026/04/23 20:58:43.676, 20.62, 2505, 2505, 7001, 62, 100, 100, 1055, 6141, P3, 4, 8
2026/04/23 20:58:43.786, 20.62, 2505, 2505, 7001, 62, 100, 100, 1055, 6141, P3, 4, 8
2026/04/23 20:58:43.898, 20.62, 2505, 2505, 7001, 62, 100, 100, 1055, 6141, P3, 4, 8
2026/04/23 20:58:44.006, 20.62, 2505, 2505, 7001, 62, 100, 100, 1055, 6141, P3, 4, 8
2026/04/23 20:58:44.117, 32.19, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.227, 32.19, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.337, 32.19, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.447, 32.19, 2505, 2505, 8001, 64, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.557, 62.40, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.666, 62.40, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.777, 62.40, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.892, 62.40, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:44.996, 62.40, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.107, 64.11, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.216, 64.11, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.329, 64.11, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.437, 64.11, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.547, 64.20, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.657, 64.20, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.768, 64.20, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.882, 64.20, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:45.991, 64.20, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.100, 64.05, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.210, 64.05, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.320, 64.05, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.429, 64.05, 2505, 2505, 8001, 65, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.539, 64.10, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.650, 64.10, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.759, 64.10, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.870, 64.10, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:46.981, 64.10, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.091, 64.16, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.202, 64.16, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.314, 64.16, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.420, 64.16, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.530, 64.44, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.637, 64.44, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.747, 64.44, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.856, 64.44, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:47.966, 64.44, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:48.075, 64.48, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:48.185, 64.48, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:48.296, 64.48, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
2026/04/23 20:58:48.406, 64.48, 2505, 2505, 8001, 66, 100, 100, 1055, 6141, P0, 4, 8
