run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260411_093721,3105,3105,2499.0000,3.7982,41.6279,158.1120,data\raw\memory\logs\33_Large Tensor Copy\clk3105_r1_20260411_093721_power.csv
clk3105_r2_20260411_093732,3105,3105,2498.4483,3.7973,41.4895,157.5466,data\raw\memory\logs\33_Large Tensor Copy\clk3105_r2_20260411_093732_power.csv
clk3105_r3_20260411_093743,3105,3105,2496.3793,3.7956,41.6418,158.0554,data\raw\memory\logs\33_Large Tensor Copy\clk3105_r3_20260411_093743_power.csv
clk3045_r1_20260411_093756,3045,3045,2500.6897,3.7992,41.0698,156.0323,data\raw\memory\logs\33_Large Tensor Copy\clk3045_r1_20260411_093756_power.csv
clk3045_r2_20260411_093807,3045,3045,2500.6897,3.7970,41.6620,158.1902,data\raw\memory\logs\33_Large Tensor Copy\clk3045_r2_20260411_093807_power.csv
clk3045_r3_20260411_093817,3045,3045,2492.0690,3.7977,41.7870,158.6952,data\raw\memory\logs\33_Large Tensor Copy\clk3045_r3_20260411_093817_power.csv
clk2985_r1_20260411_093830,2985,2985,2495.9639,3.7990,42.2058,160.3408,data\raw\memory\logs\33_Large Tensor Copy\clk2985_r1_20260411_093830_power.csv
clk2985_r2_20260411_093841,2985,2985,2492.2159,3.8036,42.1333,160.2586,data\raw\memory\logs\33_Large Tensor Copy\clk2985_r2_20260411_093841_power.csv
clk2985_r3_20260411_093852,2985,2985,2492.2159,3.7989,41.9443,159.3442,data\raw\memory\logs\33_Large Tensor Copy\clk2985_r3_20260411_093852_power.csv
clk2925_r1_20260411_093905,2925,2925,2500.4819,3.7976,42.5016,161.4051,data\raw\memory\logs\33_Large Tensor Copy\clk2925_r1_20260411_093905_power.csv
clk2925_r2_20260411_093916,2925,2925,2496.4773,3.7970,41.5934,157.9313,data\raw\memory\logs\33_Large Tensor Copy\clk2925_r2_20260411_093916_power.csv
clk2925_r3_20260411_093927,2925,2925,2496.4773,3.7974,42.7014,162.1536,data\raw\memory\logs\33_Large Tensor Copy\clk2925_r3_20260411_093927_power.csv
clk2865_r1_20260411_093940,2865,2865,2495.9639,3.7975,42.5423,161.5540,data\raw\memory\logs\33_Large Tensor Copy\clk2865_r1_20260411_093940_power.csv
clk2865_r2_20260411_093950,2865,2865,2500.6897,3.7983,41.9711,159.4178,data\raw\memory\logs\33_Large Tensor Copy\clk2865_r2_20260411_093950_power.csv
clk2865_r3_20260411_094001,2865,2865,2496.4773,3.7991,41.6694,158.3077,data\raw\memory\logs\33_Large Tensor Copy\clk2865_r3_20260411_094001_power.csv
clk2805_r1_20260411_094014,2805,2805,2505.0000,3.7973,42.3685,160.8850,data\raw\memory\logs\33_Large Tensor Copy\clk2805_r1_20260411_094014_power.csv
clk2805_r2_20260411_094025,2805,2805,2496.4773,3.7998,41.9570,159.4294,data\raw\memory\logs\33_Large Tensor Copy\clk2805_r2_20260411_094025_power.csv
clk2805_r3_20260411_094036,2805,2805,2505.0000,3.7988,42.3921,161.0409,data\raw\memory\logs\33_Large Tensor Copy\clk2805_r3_20260411_094036_power.csv
