run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260411_100322,3105,3105,2503.8362,5.5702,44.4289,247.4765,data\raw\memory\logs\34_Element-wise Operations\clk3105_r1_20260411_100322_power.csv
clk3105_r2_20260411_100336,3105,3105,2501.8750,5.5700,43.8066,244.0014,data\raw\memory\logs\34_Element-wise Operations\clk3105_r2_20260411_100336_power.csv
clk3105_r3_20260411_100350,3105,3105,2498.7500,5.5923,44.2444,247.4271,data\raw\memory\logs\34_Element-wise Operations\clk3105_r3_20260411_100350_power.csv
clk3045_r1_20260411_100407,3045,3045,2501.7949,5.5911,44.6377,249.5725,data\raw\memory\logs\34_Element-wise Operations\clk3045_r1_20260411_100407_power.csv
clk3045_r2_20260411_100421,3045,3045,2498.7500,5.5699,44.2290,246.3521,data\raw\memory\logs\34_Element-wise Operations\clk3045_r2_20260411_100421_power.csv
clk3045_r3_20260411_100436,3045,3045,2498.7500,5.5703,44.2333,246.3934,data\raw\memory\logs\34_Element-wise Operations\clk3045_r3_20260411_100436_power.csv
clk2985_r1_20260411_100452,2985,2985,2501.7672,5.5701,44.8041,249.5630,data\raw\memory\logs\34_Element-wise Operations\clk2985_r1_20260411_100452_power.csv
clk2985_r2_20260411_100507,2985,2985,2498.7500,5.5916,44.3091,247.7605,data\raw\memory\logs\34_Element-wise Operations\clk2985_r2_20260411_100507_power.csv
clk2985_r3_20260411_100521,2985,2985,2498.8017,5.5915,44.2853,247.6224,data\raw\memory\logs\34_Element-wise Operations\clk2985_r3_20260411_100521_power.csv
clk2925_r1_20260411_100538,2925,2925,2501.7391,5.5919,44.7265,250.1073,data\raw\memory\logs\34_Element-wise Operations\clk2925_r1_20260411_100538_power.csv
clk2925_r2_20260411_100552,2925,2925,2501.8487,5.5917,44.3684,248.0936,data\raw\memory\logs\34_Element-wise Operations\clk2925_r2_20260411_100552_power.csv
clk2925_r3_20260411_100607,2925,2925,2505.0000,5.5689,44.5866,248.2980,data\raw\memory\logs\34_Element-wise Operations\clk2925_r3_20260411_100607_power.csv
clk2865_r1_20260411_100623,2865,2865,2501.7391,5.5914,44.9059,251.0871,data\raw\memory\logs\34_Element-wise Operations\clk2865_r1_20260411_100623_power.csv
clk2865_r2_20260411_100637,2865,2865,2501.8487,5.5913,44.4795,248.6975,data\raw\memory\logs\34_Element-wise Operations\clk2865_r2_20260411_100637_power.csv
clk2865_r3_20260411_100651,2865,2865,2495.7787,5.5906,44.1917,247.0603,data\raw\memory\logs\34_Element-wise Operations\clk2865_r3_20260411_100651_power.csv
clk2805_r1_20260411_100708,2805,2805,2501.7391,5.5705,44.9345,250.3087,data\raw\memory\logs\34_Element-wise Operations\clk2805_r1_20260411_100708_power.csv
clk2805_r2_20260411_100722,2805,2805,2498.7500,5.5913,44.4268,248.4041,data\raw\memory\logs\34_Element-wise Operations\clk2805_r2_20260411_100722_power.csv
clk2805_r3_20260411_100737,2805,2805,2498.7500,5.5918,44.3800,248.1624,data\raw\memory\logs\34_Element-wise Operations\clk2805_r3_20260411_100737_power.csv
clk2745_r1_20260411_100754,2745,2745,2501.7391,5.5911,44.7860,250.4026,data\raw\memory\logs\34_Element-wise Operations\clk2745_r1_20260411_100754_power.csv
