run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260411_103652,3105,3105,2492.1429,0.0102,11.2043,0.1148,data\raw\memory\logs\35_Strided Access\clk3105_r1_20260411_103652_power.csv
clk3105_r2_20260411_103655,3105,3105,2476.6667,0.0092,11.7739,0.1087,data\raw\memory\logs\35_Strided Access\clk3105_r2_20260411_103655_power.csv
clk3105_r3_20260411_103658,3105,3105,2474.1176,0.0091,11.7229,0.1063,data\raw\memory\logs\35_Strided Access\clk3105_r3_20260411_103658_power.csv
clk3045_r1_20260411_103704,3045,3045,2492.1429,0.0091,11.0529,0.1005,data\raw\memory\logs\35_Strided Access\clk3045_r1_20260411_103704_power.csv
clk3045_r2_20260411_103707,3045,3045,2476.6667,0.0095,12.1722,0.1161,data\raw\memory\logs\35_Strided Access\clk3045_r2_20260411_103707_power.csv
clk3045_r3_20260411_103710,3045,3045,2451.1765,0.0093,11.6488,0.1088,data\raw\memory\logs\35_Strided Access\clk3045_r3_20260411_103710_power.csv
clk2985_r1_20260411_103715,2985,2985,2460.0000,0.0091,10.4931,0.0954,data\raw\memory\logs\35_Strided Access\clk2985_r1_20260411_103715_power.csv
clk2985_r2_20260411_103718,2985,2985,2476.6667,0.0095,12.1700,0.1156,data\raw\memory\logs\35_Strided Access\clk2985_r2_20260411_103718_power.csv
clk2985_r3_20260411_103721,2985,2985,2474.1176,0.0101,11.7512,0.1187,data\raw\memory\logs\35_Strided Access\clk2985_r3_20260411_103721_power.csv
clk2925_r1_20260411_103727,2925,2925,2520.0000,0.0093,10.6343,0.0991,data\raw\memory\logs\35_Strided Access\clk2925_r1_20260411_103727_power.csv
clk2925_r2_20260411_103730,2925,2925,2497.0588,0.0091,13.6506,0.1247,data\raw\memory\logs\35_Strided Access\clk2925_r2_20260411_103730_power.csv
clk2925_r3_20260411_103733,2925,2925,2497.0588,0.0093,13.4294,0.1253,data\raw\memory\logs\35_Strided Access\clk2925_r3_20260411_103733_power.csv
