run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260411_104535,3105,3105,2498.5714,4.2086,50.5126,212.5896,data\raw\memory\logs\36_chunk_merge\clk3105_r1_20260411_104535_power.csv
clk3105_r2_20260411_104546,3105,3105,2498.5938,4.2031,49.4625,207.8941,data\raw\memory\logs\36_chunk_merge\clk3105_r2_20260411_104546_power.csv
clk3105_r3_20260411_104558,3105,3105,2505.0000,4.2100,49.9293,210.2033,data\raw\memory\logs\36_chunk_merge\clk3105_r3_20260411_104558_power.csv
clk3045_r1_20260411_104612,3045,3045,2500.8333,4.2094,50.8834,214.1874,data\raw\memory\logs\36_chunk_merge\clk3045_r1_20260411_104612_power.csv
clk3045_r2_20260411_104623,3045,3045,2501.0526,4.2081,50.0481,210.6057,data\raw\memory\logs\36_chunk_merge\clk3045_r2_20260411_104623_power.csv
clk3045_r3_20260411_104635,3045,3045,2505.0000,4.2091,49.9106,210.0800,data\raw\memory\logs\36_chunk_merge\clk3045_r3_20260411_104635_power.csv
clk2985_r1_20260411_104648,2985,2985,2496.8478,4.2089,50.9201,214.3176,data\raw\memory\logs\36_chunk_merge\clk2985_r1_20260411_104648_power.csv
clk2985_r2_20260411_104700,2985,2985,2501.0526,4.2080,49.8786,209.8879,data\raw\memory\logs\36_chunk_merge\clk2985_r2_20260411_104700_power.csv
clk2985_r3_20260411_104711,2985,2985,2501.1340,4.2100,50.1169,210.9925,data\raw\memory\logs\36_chunk_merge\clk2985_r3_20260411_104711_power.csv
clk2925_r1_20260411_104725,2925,2925,2500.8791,4.2057,51.1071,214.9421,data\raw\memory\logs\36_chunk_merge\clk2925_r1_20260411_104725_power.csv
clk2925_r2_20260411_104736,2925,2925,2501.0526,4.2052,50.1897,211.0590,data\raw\memory\logs\36_chunk_merge\clk2925_r2_20260411_104736_power.csv
clk2925_r3_20260411_104748,2925,2925,2497.1875,4.2079,50.3490,211.8613,data\raw\memory\logs\36_chunk_merge\clk2925_r3_20260411_104748_power.csv
clk2865_r1_20260411_104802,2865,2865,2500.8791,4.2073,51.1554,215.2268,data\raw\memory\logs\36_chunk_merge\clk2865_r1_20260411_104802_power.csv
clk2865_r2_20260411_104813,2865,2865,2501.0106,4.2070,50.5546,212.6826,data\raw\memory\logs\36_chunk_merge\clk2865_r2_20260411_104813_power.csv
