run_id,clock_target_mhz,clock_applied_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260326_074812,3105,3105,19.0635,52.1291,993.7645,data\raw\compute_size4096\clk3105_r1_20260326_074812_power.csv
clk3105_r2_20260326_074831,3105,3105,17.1096,55.0206,941.3795,data\raw\compute_size4096\clk3105_r2_20260326_074831_power.csv
clk3105_r3_20260326_074849,3105,3105,15.8891,57.1707,908.3880,data\raw\compute_size4096\clk3105_r3_20260326_074849_power.csv
clk3045_r1_20260326_074907,3045,3045,15.8069,56.4981,893.0592,data\raw\compute_size4096\clk3045_r1_20260326_074907_power.csv
clk3045_r2_20260326_074923,3045,3045,15.9007,57.9920,922.1131,data\raw\compute_size4096\clk3045_r2_20260326_074923_power.csv
clk3045_r3_20260326_074940,3045,3045,16.6646,55.7244,928.6219,data\raw\compute_size4096\clk3045_r3_20260326_074940_power.csv
clk2985_r1_20260326_074959,2985,2985,15.8196,56.7549,897.8394,data\raw\compute_size4096\clk2985_r1_20260326_074959_power.csv
clk2985_r2_20260326_075015,2985,2985,16.7570,55.8516,935.9081,data\raw\compute_size4096\clk2985_r2_20260326_075015_power.csv
clk2985_r3_20260326_075032,2985,2985,16.7206,55.7648,932.4204,data\raw\compute_size4096\clk2985_r3_20260326_075032_power.csv
clk2925_r1_20260326_075051,2925,2925,17.3237,53.6395,929.2355,data\raw\compute_size4096\clk2925_r1_20260326_075051_power.csv
clk2925_r2_20260326_075109,2925,2925,16.4972,56.8217,937.3967,data\raw\compute_size4096\clk2925_r2_20260326_075109_power.csv
clk2925_r3_20260326_075126,2925,2925,16.1678,57.8042,934.5660,data\raw\compute_size4096\clk2925_r3_20260326_075126_power.csv
clk2865_r1_20260326_075144,2865,2865,16.1974,56.9358,922.2098,data\raw\compute_size4096\clk2865_r1_20260326_075144_power.csv
clk2865_r2_20260326_075201,2865,2865,17.3874,55.0394,956.9943,data\raw\compute_size4096\clk2865_r2_20260326_075201_power.csv
clk2865_r3_20260326_075219,2865,2865,17.2446,55.1384,950.8401,data\raw\compute_size4096\clk2865_r3_20260326_075219_power.csv
clk2805_r1_20260326_075238,2805,2805,16.4116,56.1395,921.3413,data\raw\compute_size4096\clk2805_r1_20260326_075238_power.csv
clk2805_r2_20260326_075255,2805,2805,16.1812,58.0964,940.0676,data\raw\compute_size4096\clk2805_r2_20260326_075255_power.csv
clk2805_r3_20260326_075312,2805,2805,16.6437,56.7740,944.9307,data\raw\compute_size4096\clk2805_r3_20260326_075312_power.csv
clk2745_r1_20260326_075331,2745,2745,16.6764,55.2646,921.6142,data\raw\compute_size4096\clk2745_r1_20260326_075331_power.csv
clk2745_r2_20260326_075348,2745,2745,16.1657,58.0156,937.8621,data\raw\compute_size4096\clk2745_r2_20260326_075348_power.csv
clk2745_r3_20260326_075404,2745,2745,16.2874,57.5593,937.4892,data\raw\compute_size4096\clk2745_r3_20260326_075404_power.csv
clk2685_r1_20260326_075423,2685,2685,16.3351,55.9436,913.8439,data\raw\compute_size4096\clk2685_r1_20260326_075423_power.csv
clk2685_r2_20260326_075440,2685,2685,16.4641,57.4439,945.7650,data\raw\compute_size4096\clk2685_r2_20260326_075440_power.csv
clk2685_r3_20260326_075457,2685,2685,16.6779,56.9459,949.7362,data\raw\compute_size4096\clk2685_r3_20260326_075457_power.csv
clk2625_r1_20260326_075516,2625,2625,17.2455,54.1924,934.5761,data\raw\compute_size4096\clk2625_r1_20260326_075516_power.csv
clk2625_r2_20260326_075533,2625,2625,16.5269,57.3272,947.4393,data\raw\compute_size4096\clk2625_r2_20260326_075533_power.csv
clk2625_r3_20260326_075550,2625,2625,16.3645,57.3221,938.0488,data\raw\compute_size4096\clk2625_r3_20260326_075550_power.csv
clk2565_r1_20260326_075609,2565,2565,16.1732,56.6510,916.2294,data\raw\compute_size4096\clk2565_r1_20260326_075609_power.csv
clk2565_r2_20260326_075626,2565,2565,16.7164,56.5789,945.7931,data\raw\compute_size4096\clk2565_r2_20260326_075626_power.csv
clk2565_r3_20260326_075643,2565,2565,16.4948,57.0408,940.8777,data\raw\compute_size4096\clk2565_r3_20260326_075643_power.csv
clk2505_r1_20260326_075702,2505,2505,16.3897,55.9344,916.7492,data\raw\compute_size4096\clk2505_r1_20260326_075702_power.csv
clk2505_r2_20260326_075718,2505,2505,16.4537,57.3995,944.4363,data\raw\compute_size4096\clk2505_r2_20260326_075718_power.csv
clk2505_r3_20260326_075735,2505,2505,16.3051,57.3758,935.5201,data\raw\compute_size4096\clk2505_r3_20260326_075735_power.csv
clk2445_r1_20260326_075754,2445,2445,16.9094,54.7374,925.5747,data\raw\compute_size4096\clk2445_r1_20260326_075754_power.csv
clk2445_r2_20260326_075811,2445,2445,17.5408,54.3398,953.1657,data\raw\compute_size4096\clk2445_r2_20260326_075811_power.csv
