run_id,clock_target_mhz,clock_applied_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260326_083439,3105,3105,14.2038,31.5492,448.1176,data\raw\memory_size8192\clk3105_r1_20260326_083439_power.csv
clk3105_r2_20260326_083454,3105,3105,12.4119,33.2485,412.6789,data\raw\memory_size8192\clk3105_r2_20260326_083454_power.csv
clk3105_r3_20260326_083507,3105,3105,10.8420,34.9147,378.5447,data\raw\memory_size8192\clk3105_r3_20260326_083507_power.csv
clk3045_r1_20260326_083520,3045,3045,10.8782,34.5923,376.3011,data\raw\memory_size8192\clk3045_r1_20260326_083520_power.csv
clk3045_r2_20260326_083531,3045,3045,11.2213,34.5806,388.0387,data\raw\memory_size8192\clk3045_r2_20260326_083531_power.csv
clk3045_r3_20260326_083543,3045,3045,11.4240,34.8791,398.4577,data\raw\memory_size8192\clk3045_r3_20260326_083543_power.csv
clk2985_r1_20260326_083557,2985,2985,11.1989,34.5891,387.3597,data\raw\memory_size8192\clk2985_r1_20260326_083557_power.csv
clk2985_r2_20260326_083608,2985,2985,11.0655,34.9856,387.1342,data\raw\memory_size8192\clk2985_r2_20260326_083608_power.csv
clk2985_r3_20260326_083620,2985,2985,11.4048,34.9216,398.2721,data\raw\memory_size8192\clk2985_r3_20260326_083620_power.csv
clk2925_r1_20260326_083634,2925,2925,11.2888,34.7291,392.0478,data\raw\memory_size8192\clk2925_r1_20260326_083634_power.csv
clk2925_r2_20260326_083645,2925,2925,11.8180,34.5007,407.7301,data\raw\memory_size8192\clk2925_r2_20260326_083645_power.csv
clk2925_r3_20260326_083657,2925,2925,12.1978,33.9246,413.8063,data\raw\memory_size8192\clk2925_r3_20260326_083657_power.csv
clk2865_r1_20260326_083712,2865,2865,11.7491,33.9270,398.6102,data\raw\memory_size8192\clk2865_r1_20260326_083712_power.csv
clk2865_r2_20260326_083724,2865,2865,12.5544,33.7478,423.6845,data\raw\memory_size8192\clk2865_r2_20260326_083724_power.csv
clk2865_r3_20260326_083737,2865,2865,11.9402,34.0161,406.1587,data\raw\memory_size8192\clk2865_r3_20260326_083737_power.csv
clk2805_r1_20260326_083752,2805,2805,11.7612,33.8400,397.9979,data\raw\memory_size8192\clk2805_r1_20260326_083752_power.csv
clk2805_r2_20260326_083804,2805,2805,11.3673,35.1877,399.9912,data\raw\memory_size8192\clk2805_r2_20260326_083804_power.csv
clk2805_r3_20260326_083815,2805,2805,11.4532,35.2937,404.2250,data\raw\memory_size8192\clk2805_r3_20260326_083815_power.csv
clk2745_r1_20260326_083829,2745,2745,11.9991,33.6734,404.0507,data\raw\memory_size8192\clk2745_r1_20260326_083829_power.csv
clk2745_r2_20260326_083842,2745,2745,12.2372,34.1158,417.4802,data\raw\memory_size8192\clk2745_r2_20260326_083842_power.csv
clk2745_r3_20260326_083854,2745,2745,11.3027,35.4303,400.4563,data\raw\memory_size8192\clk2745_r3_20260326_083854_power.csv
clk2685_r1_20260326_083908,2685,2685,11.3655,34.1710,388.3694,data\raw\memory_size8192\clk2685_r1_20260326_083908_power.csv
