run_id,clock_target_mhz,clock_applied_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260326_090938,3105,3105,31.9563,59.4846,1900.9077,data\raw\mixed_size4096\clk3105_r1_20260326_090938_power.csv
clk3105_r2_20260326_091011,3105,3105,30.5183,60.7962,1855.3948,data\raw\mixed_size4096\clk3105_r2_20260326_091011_power.csv
clk3105_r3_20260326_091041,3105,3105,29.1587,63.4016,1848.7069,data\raw\mixed_size4096\clk3105_r3_20260326_091041_power.csv
clk3045_r1_20260326_091113,3045,3045,30.1637,60.6520,1829.4890,data\raw\mixed_size4096\clk3045_r1_20260326_091113_power.csv
clk3045_r2_20260326_091144,3045,3045,30.7801,60.8928,1874.2873,data\raw\mixed_size4096\clk3045_r2_20260326_091144_power.csv
clk3045_r3_20260326_091215,3045,3045,29.2280,63.2923,1849.9081,data\raw\mixed_size4096\clk3045_r3_20260326_091215_power.csv
clk2985_r1_20260326_091246,2985,2985,28.9359,63.0995,1825.8425,data\raw\mixed_size4096\clk2985_r1_20260326_091246_power.csv
clk2985_r2_20260326_091316,2985,2985,28.8307,63.8510,1840.8665,data\raw\mixed_size4096\clk2985_r2_20260326_091316_power.csv
clk2985_r3_20260326_091345,2985,2985,28.7231,64.2261,1844.7718,data\raw\mixed_size4096\clk2985_r3_20260326_091345_power.csv
clk2925_r1_20260326_091416,2925,2925,28.9897,63.0872,1828.8821,data\raw\mixed_size4096\clk2925_r1_20260326_091416_power.csv
clk2925_r2_20260326_091445,2925,2925,29.0347,63.8898,1855.0235,data\raw\mixed_size4096\clk2925_r2_20260326_091445_power.csv
clk2925_r3_20260326_091515,2925,2925,28.9351,64.0010,1851.8755,data\raw\mixed_size4096\clk2925_r3_20260326_091515_power.csv
clk2865_r1_20260326_091546,2865,2865,29.2090,63.2063,1846.1962,data\raw\mixed_size4096\clk2865_r1_20260326_091546_power.csv
clk2865_r2_20260326_091616,2865,2865,31.0381,60.6519,1882.5178,data\raw\mixed_size4096\clk2865_r2_20260326_091616_power.csv
clk2865_r3_20260326_091647,2865,2865,29.1349,63.5609,1851.8391,data\raw\mixed_size4096\clk2865_r3_20260326_091647_power.csv
clk2805_r1_20260326_091719,2805,2805,29.0595,63.2128,1836.9349,data\raw\mixed_size4096\clk2805_r1_20260326_091719_power.csv
clk2805_r2_20260326_091748,2805,2805,29.5049,63.2697,1866.7694,data\raw\mixed_size4096\clk2805_r2_20260326_091748_power.csv
clk2805_r3_20260326_091818,2805,2805,30.9905,61.2216,1897.2905,data\raw\mixed_size4096\clk2805_r3_20260326_091818_power.csv
clk2745_r1_20260326_091852,2745,2745,28.9268,63.5773,1839.0911,data\raw\mixed_size4096\clk2745_r1_20260326_091852_power.csv
clk2745_r2_20260326_091921,2745,2745,30.3533,61.8234,1876.5466,data\raw\mixed_size4096\clk2745_r2_20260326_091921_power.csv
clk2745_r3_20260326_091952,2745,2745,29.5888,63.4117,1876.2774,data\raw\mixed_size4096\clk2745_r3_20260326_091952_power.csv
clk2685_r1_20260326_092024,2685,2685,29.8277,61.8077,1843.5787,data\raw\mixed_size4096\clk2685_r1_20260326_092024_power.csv
clk2685_r2_20260326_092054,2685,2685,29.6161,63.1881,1871.3844,data\raw\mixed_size4096\clk2685_r2_20260326_092054_power.csv
clk2685_r3_20260326_092124,2685,2685,29.8961,63.1465,1887.8352,data\raw\mixed_size4096\clk2685_r3_20260326_092124_power.csv
clk2625_r1_20260326_092156,2625,2625,29.7962,61.5724,1834.6222,data\raw\mixed_size4096\clk2625_r1_20260326_092156_power.csv
clk2625_r2_20260326_092226,2625,2625,28.9820,63.5111,1840.6769,data\raw\mixed_size4096\clk2625_r2_20260326_092226_power.csv
clk2625_r3_20260326_092256,2625,2625,29.1196,63.4924,1848.8772,data\raw\mixed_size4096\clk2625_r3_20260326_092256_power.csv
clk2565_r1_20260326_092327,2565,2565,30.4188,60.6082,1843.6309,data\raw\mixed_size4096\clk2565_r1_20260326_092327_power.csv
clk2565_r2_20260326_092358,2565,2565,30.1913,61.5743,1859.0086,data\raw\mixed_size4096\clk2565_r2_20260326_092358_power.csv
clk2565_r3_20260326_092429,2565,2565,29.0459,63.8148,1853.5543,data\raw\mixed_size4096\clk2565_r3_20260326_092429_power.csv
clk2505_r1_20260326_092500,2505,2505,29.3155,62.3688,1828.3745,data\raw\mixed_size4096\clk2505_r1_20260326_092500_power.csv
clk2505_r2_20260326_092530,2505,2505,29.4732,62.8418,1852.1504,data\raw\mixed_size4096\clk2505_r2_20260326_092530_power.csv
clk2505_r3_20260326_092600,2505,2505,30.3032,61.8444,1874.0843,data\raw\mixed_size4096\clk2505_r3_20260326_092600_power.csv
clk2445_r1_20260326_092632,2445,2445,28.6292,63.3136,1812.6147,data\raw\mixed_size4096\clk2445_r1_20260326_092632_power.csv
clk2445_r2_20260326_092701,2445,2445,28.8439,63.6175,1834.9742,data\raw\mixed_size4096\clk2445_r2_20260326_092701_power.csv
clk2445_r3_20260326_092731,2445,2445,28.9477,63.7258,1844.7123,data\raw\mixed_size4096\clk2445_r3_20260326_092731_power.csv
clk2385_r1_20260326_092802,2385,2385,28.7343,62.8550,1806.0962,data\raw\mixed_size4096\clk2385_r1_20260326_092802_power.csv
clk2385_r2_20260326_092831,2385,2385,29.0966,63.4082,1844.9607,data\raw\mixed_size4096\clk2385_r2_20260326_092831_power.csv
clk2385_r3_20260326_092901,2385,2385,28.7516,63.7437,1832.7308,data\raw\mixed_size4096\clk2385_r3_20260326_092901_power.csv
clk2325_r1_20260326_092932,2325,2325,28.6114,63.1548,1806.9477,data\raw\mixed_size4096\clk2325_r1_20260326_092932_power.csv
clk2325_r2_20260326_093001,2325,2325,28.7207,63.8288,1833.2060,data\raw\mixed_size4096\clk2325_r2_20260326_093001_power.csv
clk2325_r3_20260326_093030,2325,2325,28.8638,63.3709,1829.1279,data\raw\mixed_size4096\clk2325_r3_20260326_093030_power.csv
clk2265_r1_20260326_093101,2265,2265,28.8035,62.5500,1801.6593,data\raw\mixed_size4096\clk2265_r1_20260326_093101_power.csv
clk2265_r2_20260326_093130,2265,2265,30.0251,61.3571,1842.2541,data\raw\mixed_size4096\clk2265_r2_20260326_093130_power.csv
clk2265_r3_20260326_093201,2265,2265,29.2877,62.7485,1837.7576,data\raw\mixed_size4096\clk2265_r3_20260326_093201_power.csv
clk2205_r1_20260326_093232,2205,2205,29.2470,61.9731,1812.5261,data\raw\mixed_size4096\clk2205_r1_20260326_093232_power.csv
clk2205_r2_20260326_093302,2205,2205,29.8434,61.2141,1826.8385,data\raw\mixed_size4096\clk2205_r2_20260326_093302_power.csv
clk2205_r3_20260326_093332,2205,2205,30.2064,61.2381,1849.7822,data\raw\mixed_size4096\clk2205_r3_20260326_093332_power.csv
clk2145_r1_20260326_093405,2145,2145,28.6927,62.7728,1801.1218,data\raw\mixed_size4096\clk2145_r1_20260326_093405_power.csv
clk2145_r2_20260326_093434,2145,2145,29.3015,62.6090,1834.5342,data\raw\mixed_size4096\clk2145_r2_20260326_093434_power.csv
clk2145_r3_20260326_093504,2145,2145,29.2911,62.8864,1842.0109,data\raw\mixed_size4096\clk2145_r3_20260326_093504_power.csv
clk2085_r1_20260326_093535,2085,2085,30.1247,60.2218,1814.1629,data\raw\mixed_size4096\clk2085_r1_20260326_093535_power.csv
clk2085_r2_20260326_093606,2085,2085,29.7771,61.7729,1839.4161,data\raw\mixed_size4096\clk2085_r2_20260326_093606_power.csv
clk2085_r3_20260326_093636,2085,2085,29.7538,61.2855,1823.4783,data\raw\mixed_size4096\clk2085_r3_20260326_093636_power.csv
clk2025_r1_20260326_093708,2025,2025,28.8766,62.0030,1790.4361,data\raw\mixed_size4096\clk2025_r1_20260326_093708_power.csv
clk2025_r2_20260326_093738,2025,2025,28.9911,62.7678,1819.7087,data\raw\mixed_size4096\clk2025_r2_20260326_093738_power.csv
clk2025_r3_20260326_093807,2025,2025,28.5893,63.8222,1824.6317,data\raw\mixed_size4096\clk2025_r3_20260326_093807_power.csv
clk1965_r1_20260326_093838,1965,1965,28.7309,62.5284,1796.4950,data\raw\mixed_size4096\clk1965_r1_20260326_093838_power.csv
clk1965_r2_20260326_093907,1965,1965,29.2884,62.4545,1829.1934,data\raw\mixed_size4096\clk1965_r2_20260326_093907_power.csv
clk1965_r3_20260326_093937,1965,1965,29.1185,62.9178,1832.0729,data\raw\mixed_size4096\clk1965_r3_20260326_093937_power.csv
clk1905_r1_20260326_094008,1905,1905,30.0619,59.7476,1796.1285,data\raw\mixed_size4096\clk1905_r1_20260326_094008_power.csv
clk1905_r2_20260326_094039,1905,1905,28.7904,63.4036,1825.4164,data\raw\mixed_size4096\clk1905_r2_20260326_094039_power.csv
clk1905_r3_20260326_094108,1905,1905,29.0674,62.9983,1831.1982,data\raw\mixed_size4096\clk1905_r3_20260326_094108_power.csv
clk1845_r1_20260326_094139,1845,1845,37.2473,47.6376,1774.3752,data\raw\mixed_size4096\clk1845_r1_20260326_094139_power.csv
clk1845_r2_20260326_094217,1845,1845,29.8690,58.3980,1744.2925,data\raw\mixed_size4096\clk1845_r2_20260326_094217_power.csv
clk1845_r3_20260326_094247,1845,1845,30.0500,58.0065,1743.0927,data\raw\mixed_size4096\clk1845_r3_20260326_094247_power.csv
clk1785_r1_20260326_094320,1785,1785,30.5808,57.0295,1744.0082,data\raw\mixed_size4096\clk1785_r1_20260326_094320_power.csv
clk1785_r2_20260326_094351,1785,1785,31.0015,57.1320,1771.1785,data\raw\mixed_size4096\clk1785_r2_20260326_094351_power.csv
clk1785_r3_20260326_094422,1785,1785,30.8235,57.5008,1772.3762,data\raw\mixed_size4096\clk1785_r3_20260326_094422_power.csv
clk1725_r1_20260326_094455,1725,1725,31.9887,52.5291,1680.3397,data\raw\mixed_size4096\clk1725_r1_20260326_094455_power.csv
clk1725_r2_20260326_094527,1725,1725,32.3816,52.8674,1711.9312,data\raw\mixed_size4096\clk1725_r2_20260326_094527_power.csv
clk1725_r3_20260326_094600,1725,1725,32.0630,52.8406,1694.2272,data\raw\mixed_size4096\clk1725_r3_20260326_094600_power.csv
clk1665_r1_20260326_094635,1665,1665,32.5565,49.8313,1622.3330,data\raw\mixed_size4096\clk1665_r1_20260326_094635_power.csv
clk1665_r2_20260326_094708,1665,1665,33.0185,50.1668,1656.4313,data\raw\mixed_size4096\clk1665_r2_20260326_094708_power.csv
clk1665_r3_20260326_094741,1665,1665,33.0530,49.9793,1651.9671,data\raw\mixed_size4096\clk1665_r3_20260326_094741_power.csv
clk1605_r1_20260326_094817,1605,1605,33.9418,46.3192,1572.1588,data\raw\mixed_size4096\clk1605_r1_20260326_094817_power.csv
clk1605_r2_20260326_094851,1605,1605,34.3012,46.5019,1595.0727,data\raw\mixed_size4096\clk1605_r2_20260326_094851_power.csv
clk1605_r3_20260326_094925,1605,1605,34.1058,46.4904,1585.5929,data\raw\mixed_size4096\clk1605_r3_20260326_094925_power.csv
clk1545_r1_20260326_095002,1545,1545,34.8645,43.7769,1526.2585,data\raw\mixed_size4096\clk1545_r1_20260326_095002_power.csv
clk1545_r2_20260326_095037,1545,1545,35.0420,44.0315,1542.9514,data\raw\mixed_size4096\clk1545_r2_20260326_095037_power.csv
clk1545_r3_20260326_095113,1545,1545,35.0236,43.9732,1540.1012,data\raw\mixed_size4096\clk1545_r3_20260326_095113_power.csv
clk1485_r1_20260326_095150,1485,1485,36.0534,41.3419,1490.5172,data\raw\mixed_size4096\clk1485_r1_20260326_095150_power.csv
clk1485_r2_20260326_095227,1485,1485,36.4762,39.1613,1428.4544,data\raw\mixed_size4096\clk1485_r2_20260326_095227_power.csv
clk1485_r3_20260326_095303,1485,1485,36.6786,38.9664,1429.2355,data\raw\mixed_size4096\clk1485_r3_20260326_095303_power.csv
clk1425_r1_20260326_095343,1425,1425,37.7176,35.7848,1349.7156,data\raw\mixed_size4096\clk1425_r1_20260326_095343_power.csv
clk1425_r2_20260326_095421,1425,1425,38.3965,35.6579,1369.1394,data\raw\mixed_size4096\clk1425_r2_20260326_095421_power.csv
clk1425_r3_20260326_095459,1425,1425,37.8971,35.9542,1362.5620,data\raw\mixed_size4096\clk1425_r3_20260326_095459_power.csv
clk1365_r1_20260326_095540,1365,1365,39.3578,36.2968,1428.5630,data\raw\mixed_size4096\clk1365_r1_20260326_095540_power.csv
clk1365_r2_20260326_095620,1365,1365,41.3874,32.9024,1361.7445,data\raw\mixed_size4096\clk1365_r2_20260326_095620_power.csv
clk1365_r3_20260326_095701,1365,1365,39.4897,36.1511,1427.5962,data\raw\mixed_size4096\clk1365_r3_20260326_095701_power.csv
clk1305_r1_20260326_095743,1305,1305,40.5727,33.5537,1361.3644,data\raw\mixed_size4096\clk1305_r1_20260326_095743_power.csv
clk1305_r2_20260326_095824,1305,1305,41.0581,33.8056,1387.9918,data\raw\mixed_size4096\clk1305_r2_20260326_095824_power.csv
clk1305_r3_20260326_095906,1305,1305,40.6537,33.7452,1371.8705,data\raw\mixed_size4096\clk1305_r3_20260326_095906_power.csv
clk1245_r1_20260326_095949,1245,1245,42.5164,30.0821,1278.9826,data\raw\mixed_size4096\clk1245_r1_20260326_095949_power.csv
clk1245_r2_20260326_100032,1245,1245,42.8224,30.2013,1293.2896,data\raw\mixed_size4096\clk1245_r2_20260326_100032_power.csv
clk1245_r3_20260326_100115,1245,1245,42.9063,30.1199,1292.3363,data\raw\mixed_size4096\clk1245_r3_20260326_100115_power.csv
clk1185_r1_20260326_100200,1185,1185,44.3606,30.3899,1348.1140,data\raw\mixed_size4096\clk1185_r1_20260326_100200_power.csv
clk1185_r2_20260326_100245,1185,1185,44.7968,30.5168,1367.0538,data\raw\mixed_size4096\clk1185_r2_20260326_100245_power.csv
clk1185_r3_20260326_100330,1185,1185,44.4952,30.6920,1365.6464,data\raw\mixed_size4096\clk1185_r3_20260326_100330_power.csv
clk1125_r1_20260326_100417,1125,1125,46.5673,28.3157,1318.5846,data\raw\mixed_size4096\clk1125_r1_20260326_100417_power.csv
clk1125_r2_20260326_100504,1125,1125,46.9980,28.4894,1338.9431,data\raw\mixed_size4096\clk1125_r2_20260326_100504_power.csv
clk1125_r3_20260326_100551,1125,1125,46.8183,28.2634,1323.2465,data\raw\mixed_size4096\clk1125_r3_20260326_100551_power.csv
clk1065_r1_20260326_100640,1065,1065,48.9714,25.0626,1227.3492,data\raw\mixed_size4096\clk1065_r1_20260326_100640_power.csv
clk1065_r2_20260326_100730,1065,1065,49.2447,25.1854,1240.2489,data\raw\mixed_size4096\clk1065_r2_20260326_100730_power.csv
clk1065_r3_20260326_100819,1065,1065,49.1465,25.2145,1239.2056,data\raw\mixed_size4096\clk1065_r3_20260326_100819_power.csv
clk1005_r1_20260326_100911,1005,1005,51.7590,24.3397,1259.7987,data\raw\mixed_size4096\clk1005_r1_20260326_100911_power.csv
clk1005_r2_20260326_101003,1005,1005,52.0879,24.4774,1274.9761,data\raw\mixed_size4096\clk1005_r2_20260326_101003_power.csv
clk1005_r3_20260326_101056,1005,1005,51.8541,24.3727,1263.8257,data\raw\mixed_size4096\clk1005_r3_20260326_101056_power.csv
clk945_r1_20260327_082155,945,945,56.4669,26.0125,1468.8456,data\raw\mixed_size4096\clk945_r1_20260327_082155_power.csv
clk945_r2_20260327_082252,945,945,57.4261,26.2144,1505.3920,data\raw\mixed_size4096\clk945_r2_20260327_082252_power.csv
clk945_r3_20260327_082350,945,945,57.4516,26.3104,1511.5719,data\raw\mixed_size4096\clk945_r3_20260327_082350_power.csv
clk885_r1_20260327_082450,885,885,61.2916,24.1696,1481.3958,data\raw\mixed_size4096\clk885_r1_20260327_082450_power.csv
clk885_r2_20260327_082551,885,885,61.2665,23.8655,1462.1582,data\raw\mixed_size4096\clk885_r2_20260327_082551_power.csv
clk885_r3_20260327_082653,885,885,62.4294,23.9602,1495.8219,data\raw\mixed_size4096\clk885_r3_20260327_082653_power.csv
clk825_r1_20260327_082758,825,825,65.7362,23.0121,1512.7259,data\raw\mixed_size4096\clk825_r1_20260327_082758_power.csv
clk825_r2_20260327_082904,825,825,67.5523,22.6888,1532.6822,data\raw\mixed_size4096\clk825_r2_20260327_082904_power.csv
clk825_r3_20260327_083012,825,825,65.7335,22.9436,1508.1588,data\raw\mixed_size4096\clk825_r3_20260327_083012_power.csv
clk765_r1_20260327_083120,765,765,69.7753,23.0033,1605.0594,data\raw\mixed_size4096\clk765_r1_20260327_083120_power.csv
clk765_r2_20260327_083230,765,765,69.2145,23.2057,1606.1677,data\raw\mixed_size4096\clk765_r2_20260327_083230_power.csv
clk765_r3_20260327_083340,765,765,70.0882,23.1179,1620.2898,data\raw\mixed_size4096\clk765_r3_20260327_083340_power.csv
clk705_r1_20260327_083453,705,705,71.4407,22.7427,1624.7562,data\raw\mixed_size4096\clk705_r1_20260327_083453_power.csv
clk705_r2_20260327_083604,705,705,71.7794,22.8509,1640.2265,data\raw\mixed_size4096\clk705_r2_20260327_083604_power.csv
clk705_r3_20260327_083717,705,705,79.2159,20.4623,1620.9372,data\raw\mixed_size4096\clk705_r3_20260327_083717_power.csv
clk645_r1_20260327_083838,645,645,80.0865,18.8823,1512.2160,data\raw\mixed_size4096\clk645_r1_20260327_083838_power.csv
clk645_r2_20260327_083959,645,645,79.9209,19.0579,1523.1277,data\raw\mixed_size4096\clk645_r2_20260327_083959_power.csv
clk645_r3_20260327_084119,645,645,81.5934,18.8175,1535.3821,data\raw\mixed_size4096\clk645_r3_20260327_084119_power.csv
clk585_r1_20260327_084243,585,585,89.3339,17.8279,1592.6406,data\raw\mixed_size4096\clk585_r1_20260327_084243_power.csv
clk585_r2_20260327_084413,585,585,89.6467,18.0244,1615.8271,data\raw\mixed_size4096\clk585_r2_20260327_084413_power.csv
clk585_r3_20260327_084543,585,585,88.1141,18.2665,1609.5368,data\raw\mixed_size4096\clk585_r3_20260327_084543_power.csv
clk525_r1_20260327_084714,525,525,97.8136,17.2384,1686.1488,data\raw\mixed_size4096\clk525_r1_20260327_084714_power.csv
clk525_r2_20260327_084852,525,525,96.9783,17.3565,1683.1986,data\raw\mixed_size4096\clk525_r2_20260327_084852_power.csv
clk525_r3_20260327_085029,525,525,96.9469,17.3944,1686.3299,data\raw\mixed_size4096\clk525_r3_20260327_085029_power.csv
clk465_r1_20260327_085209,465,465,109.9466,16.2372,1785.2262,data\raw\mixed_size4096\clk465_r1_20260327_085209_power.csv
clk465_r2_20260327_085359,465,465,110.2002,16.2454,1790.2411,data\raw\mixed_size4096\clk465_r2_20260327_085359_power.csv
clk465_r3_20260327_085549,465,465,110.0332,16.2527,1788.3350,data\raw\mixed_size4096\clk465_r3_20260327_085549_power.csv
clk405_r1_20260327_085742,405,405,124.1864,15.2575,1894.7767,data\raw\mixed_size4096\clk405_r1_20260327_085742_power.csv
clk405_r2_20260327_085947,405,405,124.8900,17.6163,2200.0952,data\raw\mixed_size4096\clk405_r2_20260327_085947_power.csv
clk405_r3_20260327_090152,405,405,125.5745,14.6467,1839.2496,data\raw\mixed_size4096\clk405_r3_20260327_090152_power.csv
clk345_r1_20260327_090400,345,345,143.9344,15.6587,2253.8190,data\raw\mixed_size4096\clk345_r1_20260327_090400_power.csv
clk345_r2_20260327_090624,345,345,143.9939,13.6307,1962.7398,data\raw\mixed_size4096\clk345_r2_20260327_090624_power.csv
clk345_r3_20260327_090849,345,345,144.5215,13.6057,1966.3118,data\raw\mixed_size4096\clk345_r3_20260327_090849_power.csv
clk285_r1_20260327_091116,285,285,174.0716,12.7297,2215.8727,data\raw\mixed_size4096\clk285_r1_20260327_091116_power.csv
clk285_r2_20260327_091410,285,285,174.4514,13.2576,2312.8030,data\raw\mixed_size4096\clk285_r2_20260327_091410_power.csv
clk285_r3_20260327_091705,285,285,174.3274,13.2695,2313.2395,data\raw\mixed_size4096\clk285_r3_20260327_091705_power.csv
clk225_r1_20260327_092002,225,225,220.8672,12.2068,2696.0902,data\raw\mixed_size4096\clk225_r1_20260327_092002_power.csv
clk225_r2_20260327_092343,225,225,220.4614,11.6517,2568.7517,data\raw\mixed_size4096\clk225_r2_20260327_092343_power.csv
clk225_r3_20260327_092724,225,225,221.3628,11.6389,2576.4281,data\raw\mixed_size4096\clk225_r3_20260327_092724_power.csv
