run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260403_145059,3105,3105,2139.3888,74.3833,65.0731,4840.3528,data\raw\phased_c2_m2_size4096\clk3105_r1_20260403_145059_power.csv
clk3105_r2_20260403_145214,3105,3105,2142.3792,59.0192,64.5008,3806.7844,data\raw\phased_c2_m2_size4096\clk3105_r2_20260403_145214_power.csv
clk3105_r3_20260403_145314,3105,3105,2092.2249,89.9585,67.1006,6036.2720,data\raw\phased_c2_m2_size4096\clk3105_r3_20260403_145314_power.csv
clk3045_r1_20260403_145446,3045,3045,2081.4244,94.7274,67.9751,6439.1033,data\raw\phased_c2_m2_size4096\clk3045_r1_20260403_145446_power.csv
clk3045_r2_20260403_145621,3045,3045,2083.1331,101.8419,68.0083,6926.0947,data\raw\phased_c2_m2_size4096\clk3045_r2_20260403_145621_power.csv
clk3045_r3_20260403_145803,3045,3045,2077.9688,91.6223,67.9706,6227.6294,data\raw\phased_c2_m2_size4096\clk3045_r3_20260403_145803_power.csv
clk2985_r1_20260403_145937,2985,2985,2085.7023,91.7116,67.8467,6222.3332,data\raw\phased_c2_m2_size4096\clk2985_r1_20260403_145937_power.csv
clk2985_r2_20260403_150109,2985,2985,2084.1768,90.1813,67.8421,6118.0933,data\raw\phased_c2_m2_size4096\clk2985_r2_20260403_150109_power.csv
clk2985_r3_20260403_150240,2985,2985,2084.8094,86.5472,67.8272,5870.2513,data\raw\phased_c2_m2_size4096\clk2985_r3_20260403_150240_power.csv
clk2925_r1_20260403_150409,2925,2925,2081.1858,89.9927,67.8408,6105.1784,data\raw\phased_c2_m2_size4096\clk2925_r1_20260403_150409_power.csv
clk2925_r2_20260403_150539,2925,2925,2085.3903,88.8910,67.7931,6026.1937,data\raw\phased_c2_m2_size4096\clk2925_r2_20260403_150539_power.csv
clk2925_r3_20260403_150709,2925,2925,2089.2169,85.6464,67.7083,5798.9752,data\raw\phased_c2_m2_size4096\clk2925_r3_20260403_150709_power.csv
clk2865_r1_20260403_150837,2865,2865,2100.6841,64.9234,66.8096,4337.5093,data\raw\phased_c2_m2_size4096\clk2865_r1_20260403_150837_power.csv
clk2865_r2_20260403_150942,2865,2865,2098.0645,68.0027,65.7691,4472.4777,data\raw\phased_c2_m2_size4096\clk2865_r2_20260403_150942_power.csv
clk2865_r3_20260403_151050,2865,2865,2099.3204,67.8115,65.5448,4444.6921,data\raw\phased_c2_m2_size4096\clk2865_r3_20260403_151050_power.csv
clk2805_r1_20260403_151201,2805,2805,2083.8556,80.6418,67.4684,5440.7754,data\raw\phased_c2_m2_size4096\clk2805_r1_20260403_151201_power.csv
clk2805_r2_20260403_151322,2805,2805,2088.7310,86.5187,67.3024,5822.9159,data\raw\phased_c2_m2_size4096\clk2805_r2_20260403_151322_power.csv
clk2805_r3_20260403_151449,2805,2805,2107.6023,56.0868,64.8635,3637.9825,data\raw\phased_c2_m2_size4096\clk2805_r3_20260403_151449_power.csv
clk2745_r1_20260403_151547,2745,2745,2102.2686,48.4727,65.0065,3151.0425,data\raw\phased_c2_m2_size4096\clk2745_r1_20260403_151547_power.csv
clk2745_r2_20260403_151636,2745,2745,2083.1196,76.2340,67.4115,5139.0446,data\raw\phased_c2_m2_size4096\clk2745_r2_20260403_151636_power.csv
clk2745_r3_20260403_151753,2745,2745,2082.5000,88.4319,67.7655,5992.6395,data\raw\phased_c2_m2_size4096\clk2745_r3_20260403_151753_power.csv
clk2685_r1_20260403_151924,2685,2685,2088.2582,80.2960,67.1167,5389.2034,data\raw\phased_c2_m2_size4096\clk2685_r1_20260403_151924_power.csv
clk2685_r2_20260403_152044,2685,2685,2089.7091,81.0735,67.3221,5458.0397,data\raw\phased_c2_m2_size4096\clk2685_r2_20260403_152044_power.csv
clk2685_r3_20260403_152206,2685,2685,2090.8623,78.9171,67.1996,5303.1935,data\raw\phased_c2_m2_size4096\clk2685_r3_20260403_152206_power.csv
clk2625_r1_20260403_152327,2625,2625,2096.8498,78.8874,67.3650,5314.2506,data\raw\phased_c2_m2_size4096\clk2625_r1_20260403_152327_power.csv
clk2625_r2_20260403_152446,2625,2625,2095.1646,63.1749,66.8584,4223.7710,data\raw\phased_c2_m2_size4096\clk2625_r2_20260403_152446_power.csv
clk2625_r3_20260403_152550,2625,2625,2129.3182,52.9074,62.7165,3318.1647,data\raw\phased_c2_m2_size4096\clk2625_r3_20260403_152550_power.csv
clk2565_r1_20260403_152645,2565,2565,2109.6947,51.8217,65.1519,3376.2855,data\raw\phased_c2_m2_size4096\clk2565_r1_20260403_152645_power.csv
clk2565_r2_20260403_152738,2565,2565,2111.4750,65.8192,65.0968,4284.6246,data\raw\phased_c2_m2_size4096\clk2565_r2_20260403_152738_power.csv
clk2565_r3_20260403_152844,2565,2565,2108.2188,60.5760,65.5210,3969.0015,data\raw\phased_c2_m2_size4096\clk2565_r3_20260403_152844_power.csv
clk2505_r1_20260403_152947,2505,2505,2114.9756,67.4928,65.1229,4395.3262,data\raw\phased_c2_m2_size4096\clk2505_r1_20260403_152947_power.csv
clk2505_r2_20260403_153055,2505,2505,2100.7546,72.0259,66.8759,4816.7999,data\raw\phased_c2_m2_size4096\clk2505_r2_20260403_153055_power.csv
clk2505_r3_20260403_153207,2505,2505,2106.6917,80.5423,67.4087,5429.2556,data\raw\phased_c2_m2_size4096\clk2505_r3_20260403_153207_power.csv
clk2445_r1_20260403_153330,2445,2445,2105.2817,85.8235,67.0087,5750.9222,data\raw\phased_c2_m2_size4096\clk2445_r1_20260403_153330_power.csv
clk2445_r2_20260403_153456,2445,2445,2099.9455,90.9051,67.5437,6140.0667,data\raw\phased_c2_m2_size4096\clk2445_r2_20260403_153456_power.csv
clk2445_r3_20260403_153628,2445,2445,2104.0830,95.3571,67.6173,6447.7893,data\raw\phased_c2_m2_size4096\clk2445_r3_20260403_153628_power.csv
clk2385_r1_20260403_153805,2385,2385,2129.5873,79.9215,66.8077,5339.3721,data\raw\phased_c2_m2_size4096\clk2385_r1_20260403_153805_power.csv
clk2385_r2_20260403_153926,2385,2385,2112.9178,77.5550,66.7879,5179.7338,data\raw\phased_c2_m2_size4096\clk2385_r2_20260403_153926_power.csv
clk2385_r3_20260403_154044,2385,2385,2096.2762,78.6639,66.9438,5266.0599,data\raw\phased_c2_m2_size4096\clk2385_r3_20260403_154044_power.csv
clk2325_r1_20260403_154205,2325,2325,2089.4782,83.1280,67.4287,5605.2084,data\raw\phased_c2_m2_size4096\clk2325_r1_20260403_154205_power.csv
clk2325_r2_20260403_154328,2325,2325,2093.9345,85.6376,67.4972,5780.3012,data\raw\phased_c2_m2_size4096\clk2325_r2_20260403_154328_power.csv
clk2325_r3_20260403_154454,2325,2325,2096.9685,83.7441,67.4253,5646.4681,data\raw\phased_c2_m2_size4096\clk2325_r3_20260403_154454_power.csv
clk2265_r1_20260403_154620,2265,2265,2094.3627,83.5149,67.3601,5625.5655,data\raw\phased_c2_m2_size4096\clk2265_r1_20260403_154620_power.csv
clk2265_r2_20260403_154744,2265,2265,2093.9825,94.0605,67.7107,6368.9063,data\raw\phased_c2_m2_size4096\clk2265_r2_20260403_154744_power.csv
clk2265_r3_20260403_154919,2265,2265,2099.1189,80.5189,67.2005,5410.9109,data\raw\phased_c2_m2_size4096\clk2265_r3_20260403_154919_power.csv
clk2205_r1_20260403_155042,2205,2205,2092.5339,72.7104,66.8237,4858.7770,data\raw\phased_c2_m2_size4096\clk2205_r1_20260403_155042_power.csv
clk2205_r2_20260403_155155,2205,2205,2093.8554,81.8858,67.1893,5501.8521,data\raw\phased_c2_m2_size4096\clk2205_r2_20260403_155155_power.csv
clk2205_r3_20260403_155317,2205,2205,2095.9363,82.6792,67.2328,5558.7562,data\raw\phased_c2_m2_size4096\clk2205_r3_20260403_155317_power.csv
clk2145_r1_20260403_155442,2145,2145,2092.0182,78.6071,67.1928,5281.8316,data\raw\phased_c2_m2_size4096\clk2145_r1_20260403_155442_power.csv
clk2145_r2_20260403_155601,2145,2145,2092.6738,66.1738,66.0487,4370.6961,data\raw\phased_c2_m2_size4096\clk2145_r2_20260403_155601_power.csv
clk2145_r3_20260403_155708,2145,2145,2098.8000,43.6232,59.5796,2599.0531,data\raw\phased_c2_m2_size4096\clk2145_r3_20260403_155708_power.csv
clk2085_r1_20260403_155754,2085,2085,2078.8191,65.5298,64.4481,4223.2731,data\raw\phased_c2_m2_size4096\clk2085_r1_20260403_155754_power.csv
clk2085_r2_20260403_155900,2085,2085,2080.0396,69.3751,65.2629,4527.6198,data\raw\phased_c2_m2_size4096\clk2085_r2_20260403_155900_power.csv
clk2085_r3_20260403_160010,2085,2085,2081.7787,83.4156,65.4208,5457.1131,data\raw\phased_c2_m2_size4096\clk2085_r3_20260403_160010_power.csv
clk2025_r1_20260403_160136,2025,2025,2023.4319,79.8598,61.7168,4928.6921,data\raw\phased_c2_m2_size4096\clk2025_r1_20260403_160136_power.csv
clk2025_r2_20260403_160256,2025,2025,2023.4242,82.5552,61.6091,5086.1471,data\raw\phased_c2_m2_size4096\clk2025_r2_20260403_160256_power.csv
clk2025_r3_20260403_160419,2025,2025,2023.5714,83.0784,61.9461,5146.3816,data\raw\phased_c2_m2_size4096\clk2025_r3_20260403_160419_power.csv
