run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260403_195123,3105,3105,2202.0707,255.9279,63.0486,16135.9045,data\raw\phased_size4096_c25_m45\clk3105_r1_20260403_195123_power.csv
clk3105_r2_20260403_195539,3105,3105,2188.6299,255.6007,63.6859,16278.1600,data\raw\phased_size4096_c25_m45\clk3105_r2_20260403_195539_power.csv
clk3105_r3_20260403_195955,3105,3105,2191.5026,255.5576,63.6799,16273.8694,data\raw\phased_size4096_c25_m45\clk3105_r3_20260403_195955_power.csv
clk3045_r1_20260403_200413,3045,3045,2198.5945,255.4204,63.6460,16256.4877,data\raw\phased_size4096_c25_m45\clk3045_r1_20260403_200413_power.csv
clk3045_r2_20260403_200829,3045,3045,2201.3769,255.9844,63.5428,16265.9666,data\raw\phased_size4096_c25_m45\clk3045_r2_20260403_200829_power.csv
clk3045_r3_20260403_201245,3045,3045,2195.4253,255.1528,63.7359,16262.3931,data\raw\phased_size4096_c25_m45\clk3045_r3_20260403_201245_power.csv
clk2985_r1_20260403_201703,2985,2985,2194.4607,254.9865,63.7142,16246.2685,data\raw\phased_size4096_c25_m45\clk2985_r1_20260403_201703_power.csv
clk2985_r2_20260403_202118,2985,2985,2193.2682,255.1196,63.7556,16265.3105,data\raw\phased_size4096_c25_m45\clk2985_r2_20260403_202118_power.csv
clk2985_r3_20260403_202534,2985,2985,2193.6436,255.0912,63.7475,16261.4203,data\raw\phased_size4096_c25_m45\clk2985_r3_20260403_202534_power.csv
clk2925_r1_20260403_202951,2925,2925,2192.8439,254.8933,63.7330,16245.1064,data\raw\phased_size4096_c25_m45\clk2925_r1_20260403_202951_power.csv
clk2925_r2_20260403_203407,2925,2925,2190.7451,255.0163,63.8933,16293.8413,data\raw\phased_size4096_c25_m45\clk2925_r2_20260403_203407_power.csv
clk2925_r3_20260403_203822,2925,2925,2193.7967,255.0391,63.7117,16248.9831,data\raw\phased_size4096_c25_m45\clk2925_r3_20260403_203822_power.csv
clk2865_r1_20260403_204240,2865,2865,2192.5301,254.7989,63.7140,16234.2551,data\raw\phased_size4096_c25_m45\clk2865_r1_20260403_204240_power.csv
clk2865_r2_20260403_204655,2865,2865,2193.6003,255.2220,63.7364,16266.9261,data\raw\phased_size4096_c25_m45\clk2865_r2_20260403_204655_power.csv
clk2865_r3_20260403_205110,2865,2865,2192.3122,255.1905,63.7774,16275.3935,data\raw\phased_size4096_c25_m45\clk2865_r3_20260403_205110_power.csv
